,p_value,iterations,chi_sq_stat
0712010101_0094,,,
0712010101_0104,5.840709370970037e-19,0,98.24074074074073
0712010101_0110,0.040237820770186124,0,13.181818181818182
0712010101_0114,0.002136130494572281,21,20.63157894736842
0712010101_0115,8.890409885861694e-13,3,68.35416666666667
0712010101_0117,0.05605118396426771,22,12.277777777777779
0712010101_0119,5.19204570761307e-10,2,54.75609756097561
0712010101_0122,,,
0712010101_0125,,,
0712010101_0126,,,
0712010101_0127,8.801410261935263e-07,0,38.54166666666667
0712010101_0135,5.27322256914889e-16,5,84.01785714285714
0712010101_0136,0.5405286954110526,24,5.0256410256410255
0712010101_0141,2.1395305324198703e-07,11,41.666666666666664
0712010101_0142,1.2370772105603874e-06,4,37.785714285714285
0712010101_0143,2.956242033817266e-05,1,30.65
0712010101_0146,1.90971639383161e-08,3,46.955555555555556
0712010101_0147,0.00013249522137931134,16,27.205882352941174
0712010101_0148,5.199084061808283e-13,1,69.49122807017544
0712010101_0150,0.00019189352177444212,1,26.346153846153847
0712010101_0154,5.960204137380314e-07,19,39.4054054054054
0712010101_0156,8.646189485075745e-16,0,82.98039215686275
0712010101_0157,2.899119661546781e-05,20,30.694444444444443
0712010101_0158,5.81639644338624e-07,0,39.45945945945946
0712010101_0161,,,
0712010101_0162,,,
0712010101_0163,2.2005696210708655e-14,23,76.17307692307693
0712010101_0166,4.392022874855529e-08,11,45.138888888888886
0712010101_0168,1.0171785107135069e-10,0,58.255319148936174
0712010101_0169,8.890409885861694e-13,1,68.35416666666667
0712010101_0170,3.132440250330726e-06,22,35.714285714285715
0712010101_0171,,,
0712010101_0172,1.707977557713307e-05,5,31.896551724137932
0712010101_0173,,,
0712010101_0175,0.9743430691009745,5,1.25
0712010101_0176,3.29800981629852e-06,15,35.5990675990676
0712010101_0177,6.201043347267843e-15,13,78.84036393713814
0712010101_0179,2.2281607669213592e-12,16,66.40425531914894
0712010101_0181,6.456619845979633e-31,1,155.0990099009901
0712010101_0184,0.7365642017079177,22,3.5555555555555554
0712010101_0185,6.147037695037022e-13,3,69.13636363636364
0712010101_0186,0.0009002874523788165,2,22.708333333333332
0712010101_0187,0.7407992947842195,1,3.5238095238095237
0712010101_0188,0.0005434049974244568,2,23.90625
0712010101_0190,,,
0712010101_0195,,,
0712010101_0198,,,
0712010101_0201,1.329842948171243e-12,3,67.5
0712010101_0202,6.961432089180794e-06,0,33.92307692307692
0712010101_0203,8.03376933147127e-15,1,78.29545454545455
0712010101_0204,0.09991643842004935,15,10.647058823529413
0712010101_0205,8.97818701601982e-13,0,68.33333333333334
