hid,pid,geo,sample_geo,age,gender,education,employment
10217,1,0712020101_0178,407,4,2,4,4
1040,1,0712010101_0333,482,1,2,3,1
10116,1,0712010101_0333,482,1,2,3,1
10116,2,0712010101_0333,482,3,2,3,1
10116,3,0712010101_0333,482,3,1,3,1
1023,1,0712020101_0172,483,2,1,3,1
1031,1,0712020101_0172,483,2,1,3,1
1047,1,0712020101_0172,483,3,1,2,4
1055,1,0712020101_0172,483,2,1,5,6
1057,1,0712020101_0172,483,4,1,2,4
1057,2,0712020101_0172,483,4,2,2,4
1060,1,0712020101_0172,483,4,1,2,4
1060,2,0712020101_0172,483,4,2,2,4
1062,1,0712020101_0172,483,2,2,4,1
1071,1,0712020101_0172,483,2,2,3,1
1093,1,0712020101_0172,483,2,1,4,1
1094,1,0712020101_0172,483,1,1,3,3
10121,1,0712020101_0172,483,2,2,4,1
10141,1,0712020101_0172,483,1,2,3,6
10174,1,0712020101_0172,483,1,1,3,3
10177,1,0712020101_0172,483,2,2,4,1
10197,1,0712020101_0172,483,2,2,5,2
10198,1,0712020101_0172,483,2,1,4,1
10206,1,0712020101_0172,483,3,2,4,1
10213,1,0712020101_0172,483,2,1,4,1
