name,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,gender,gender
categories,1,2,3,4,5,1,2
geo,,,,,,,
0712010101_0333,,,5.0,,5.0,5.0,15.0
0712020101_0169,10.0,50.0,60.0,90.0,,150.0,70.0
0712020101_0172,420.0,525.0,315.0,420.0,210.0,1155.0,945.0
0712020101_0178,500.0,2100.0,1600.0,2500.0,1200.0,4900.0,3900.0
