,p_value,iterations,chi_sq_stat
0712010101_0094,,,
0712010101_0104,2.9324863008909148e-25,1,146.47927822495743
0712010101_0110,0.2013044286540917,6,15.784552521116474
0712010101_0114,0.6508261309877013,5,9.602063574282816
0712010101_0115,7.787915315630036e-06,20,45.70854489493249
0712010101_0117,0.3121075881067408,15,13.823705464774413
0712010101_0119,2.0123139271574674e-05,7,43.29517133474971
0712010101_0122,,,
0712010101_0125,,,
0712010101_0126,,,
0712010101_0127,6.2697786965104325e-09,0,63.038436154074454
0712010101_0135,5.918734850824306e-17,20,104.95668452519072
0712010101_0136,0.9999451591018519,0,1.2779444949551606
0712010101_0141,2.3823838549818008e-07,1,54.333367690249105
0712010101_0142,0.0005150240515861024,1,34.74036619712218
0712010101_0143,0.0019187302162896106,10,31.075094995697203
0712010101_0146,5.8635652424862056e-08,20,57.717560813988484
0712010101_0147,0.003655511944989036,22,29.218870110856614
0712010101_0148,1.8341296729968938e-07,12,54.967807958085615
0712010101_0150,2.9168595570892145e-07,6,53.841318740176284
0712010101_0154,5.317256744798129e-06,9,46.669698150996865
0712010101_0156,1.3191979312654504e-06,17,50.14182511136849
0712010101_0157,0.07333325916779675,2,19.68260676215196
0712010101_0158,2.75549057828337e-07,4,53.979765018078226
0712010101_0161,,,
0712010101_0162,,,
0712010101_0163,2.734171656233992e-07,10,53.99865355870523
0712010101_0166,2.859227728290286e-07,18,53.88987271398841
0712010101_0168,1.2190266089433682e-06,3,50.336859149832065
0712010101_0169,0.00010209634594120805,13,39.07976084575527
0712010101_0170,2.557848552224484e-07,6,54.16071350300938
0712010101_0171,,,
0712010101_0172,0.05841337553183384,6,20.487180062029758
0712010101_0173,,,
0712010101_0175,0.998751098494349,4,2.313812070322583
0712010101_0176,0.12309410066096665,0,17.762510396002835
0712010101_0177,2.5688562350753775e-08,22,59.691865615794484
0712010101_0179,6.819394541997659e-11,17,73.57715369928229
0712010101_0181,1.7925903122539575e-43,14,235.03193604175377
0712010101_0184,0.8733715240813563,19,6.7549817619157455
0712010101_0185,5.104960338395937e-14,19,89.92512067489879
0712010101_0186,0.0005549113300900054,21,34.53622478226594
0712010101_0187,0.6494270668573932,22,9.618072660308346
0712010101_0188,1.4016886071898658e-05,6,44.218433135187865
0712010101_0190,,,
0712010101_0195,,,
0712010101_0198,,,
0712010101_0201,7.008518382464189e-16,15,99.48965420712288
0712010101_0202,0.0021080271689952186,22,30.806904359266156
0712010101_0203,0.02626653127301617,9,23.176228826573958
0712010101_0204,0.3487674854709573,23,13.283619894202857
0712010101_0205,1.688464461341036e-07,0,55.168240673333756
0712010101_0206,2.9118506413366073e-13,19,86.00828213532998
0712010101_0207,0.9968427205421605,3,2.7920204689530297
0712010101_0208,0.5156080614708247,0,11.155892687527697
0712010101_0209,0.018533141326207894,10,24.296273795501868
0712010101_0210,3.292401367930449e-08,1,59.09952063372589
0712010101_0211,0.00033045420404621335,21,35.94663676311962
0712010101_0212,,,
0712010101_0213,1.1966130045347116e-12,1,82.81268916405827
0712010101_0214,0.9935726817657772,17,3.2428900053912404
0712010101_0216,0.9656753850351139,12,4.7546609562732245
0712010101_0217,0.002252973488279015,3,30.616812986891183
0712010101_0218,0.02619674415206521,8,23.184880712595294
0712010101_0219,,,
0712010101_0220,,,
0712010101_0222,0.3701316724627406,0,12.985003027340927
0712010101_0223,0.027067236668495358,13,23.078453017580646
0712010101_0227,0.9988134285993231,10,2.2904071326268918
0712010101_0228,7.873390827249421e-07,18,51.413487621980536
0712010101_0229,0.002438885600541736,20,30.3895521837115
0712010101_0231,2.140562930423363e-10,1,70.934592538667
0712010101_0233,0.9985474281086915,6,2.3845522281965907
0712010101_0234,0.9951019673425665,3,3.060452330267882
0712010101_0236,0.00047696375009423445,23,34.95004809839331
0712010101_0237,,,
0712010101_0238,0.07651500861558612,15,19.53003114177531
0712010101_0239,0.7623514395823178,2,8.286602848616768
0712010101_0240,0.701454397597381,22,9.017272854047677
0712010101_0241,0.9191464110879561,24,5.938580932098105
0712010101_0242,0.9934350008415515,24,3.2576951406973054
0712010101_0244,0.36096125532687023,3,13.111883514403011
0712010101_0245,0.02494447322356838,2,23.343868744621503
0712010101_0246,0.10182235040192558,21,18.481908145228587
0712010101_0247,0.9841567214971593,12,3.959467518160768
0712010101_0248,,,
0712010101_0249,0.04651213697949635,20,21.273789278409396
0712010101_0250,0.17280849681574167,7,16.41855731375739
0712010101_0251,0.9959748572078069,19,2.936669048840863
0712010101_0252,0.8743575916134461,11,6.73917660882827
0712010101_0260,6.2697786965104325e-09,0,63.038436154074454
