,average_percent_deviation
0712020101_0204,0.03535260036053575
0712020101_0207,0.10992779786951364
0712020101_0209,0.06757343248960905
0712020101_0210,0.033341224319352776
0712020101_0218,0.06097455617861997
0712020101_0225,0.0016173441191000256
0712020101_0229,
0712020101_0230,0.01281968211519395
0712020101_0231,0.0294198877797259
0712020101_0235,0.01281968211519395
0712020101_0236,0.023808642244695647
0712020101_0245,0.02083246554295563
0712020101_0246,0.04875981289013057
0712020101_0254,0.013514222339287502
0712020101_0261,0.009804647563191866
0712020101_0264,0.010204805775190487
0712020101_0272,0.04610642624622325
0712020101_0278,0.004167418751660712
0712020101_0287,0.09524232255203423
0712020101_0292,0.05555452706325603
0712020101_0301,0.03572203578984053
0712020101_0306,0.02777687784701567
0712020101_0315,0.08915187460427487
0712020101_0594,0.09999876580924057
0712020101_0595,0.10606419287243307
0712020101_0596,0.04217604278815069
0712020101_0611,7.71369224672469e-07
0712020101_0614,0.0222213480037676
0712020101_0619,0.04546171907819948
0712020101_0622,7.713692246563203e-07
0712020101_0178,0.01701294464947656
0712020101_0181,0.0020025260445641515
0712020101_0186,0.016123998371715343
0712020101_0190,0.04630341764742122
0712020101_0193,0.008480432887144732
0712020101_0196,0.011117055891180618
0712020101_0198,0.005561314561247896
0712020101_0200,0.02033145614570316
0712020101_0205,0.023804746754110814
0712020101_0212,0.0686241726090303
0712020101_0219,0.011105909428550295
0712020101_0221,0.00926514211453635
0712020101_0226,0.01877439746141518
0712020101_0228,5.573231315144274e-06
0712020101_0232,0.00242111293998153
0712020101_0234,0.04385554253131164
0712020101_0238,0.015157595040222604
0712020101_0241,0.04121444308754056
0712020101_0242,0.12499860669217121
0712020101_0243,0.029407174985975736
0712020101_0247,0.0686241726090303
0712020101_0249,5.573231315188683e-06
0712020101_0251,0.05555184006801211
0712020101_0252,0.03921142439173938
0712020101_0253,5.573231315144274e-06
0712020101_0256,
0712020101_0257,
0712020101_0258,0.12499860669217121
0712020101_0260,0.02777313341834844
0712020101_0262,0.03999576434420047
0712020101_0268,0.04839428804040668
0712020101_0270,0.04999609873807937
0712020101_0271,0.09523570671038874
0712020101_0274,0.008480432887144732
0712020101_0275,5.573231315144274e-06
0712020101_0276,
0712020101_0279,0.033328874748281216
0712020101_0280,0.07777480538774303
0712020101_0282,0.11666499469727211
0712020101_0283,0.1274391490218824
0712020101_0284,0.05172029432323092
0712020101_0285,0.005752891848486971
0712020101_0288,0.16667781312929705
0712020101_0291,0.00979867617444845
0712020101_0295,0.10605857943103691
0712020101_0297,0.037223646218243124
0712020101_0299,0.06521399890267772
0712020101_0300,0.017943744911544404
0712020101_0303,0.02777313341834844
0712020101_0304,0.018524710997757602
0712020101_0307,0.07446500204225118
0712020101_0309,0.012826514761929165
0712020101_0310,0.04761506673953678
0712020101_0312,0.05207950173680417
0712020101_0313,0.06756425375435314
0712020101_0316,0.09886778942003
0712020101_0317,0.01090936462651023
0712020101_0319,0.033328874748281195
0712020101_0320,0.010747474504038505
0712020101_0322,0.06944119339284392
0712020101_0324,0.03921142439173938
0712020101_0325,0.03587175143720999
0712020101_0327,0.009672169730503164
0712020101_0328,0.032604212835681275
0712020101_0330,0.05556298653064243
0712020101_0333,0.06883730846567733
0712020101_0334,0.026941435614466335
0712020101_0335,0.014409347049659293
0712020101_0336,0.01961407204284241
0712020101_0337,0.06614535096860956
0712020101_0338,0.013883780093516663
0712020101_0350,0.08974101748298274
0712020101_0364,0.028461809311458405
0712020101_0369,0.014625945152190767
0712020101_0374,0.00979867617444845
0712020101_0377,0.01449881148331359
0712020101_0383,0.015146448577592293
0712020101_0420,0.046673800402750064
0712020101_0434,0.029418321448606052
0712020101_0601,0.011105909428550277
0712020101_0602,0.012815368299298822
0712020101_0610,
0712020101_0612,5.57323131517388e-06
0712020101_0613,0.06409913442175476
0712020101_0615,0.12068811772929239
0712020101_0616,0.07142538672496276
0712020101_0617,0.039090384275618846
0712020101_0618,0.09523570671038874
0712020101_0620,0.03703270230156968
0712020101_0621,0.013508392165818471
0712020101_0630,0.0632149315575745
0712020101_0631,0.05398684251028458
0712020101_0632,0.09420047540667457
0712020101_0633,0.07142538672496275
0712020101_0636,0.12499860669217121
0712020101_0637,0.041662486743180294
0712020101_0638,0.02221739208841576
0712010101_0333,0.033333912719604876
0712020101_0128,0.07333373890372342
0712020101_0131,0.08333369544975305
0712020101_0159,0.004065747219030355
0712020101_0191,0.033817002407818854
0712020101_0237,0.041665761375617394
0712020101_0265,0.20370209429739386
0712020101_0302,0.03333246425392602
0712020101_0172,0.010416121423285666
0712020101_0176,0.006667159310097996
0712020101_0195,0.022123312515125237
0712020101_0211,0.02857082742914629
0712020101_0223,0.021738550329292856
0712020101_0224,
0712020101_0239,0.003704205470161552
0712020101_0240,0.025251934329217466
0712020101_0244,0.055555897669049524
0712020101_0259,0.04321025666931432
0712020101_0266,0.011627358003928301
0712020101_0273,
0712020101_0289,0.05555487132856762
0712020101_0293,0.033332717529044154
0712020101_0294,0.02380893732924842
0712020101_0311,0.0873018316683687
0712020101_0318,5.13170240967753e-07
0712020101_0321,0.026316221617045027
0712020101_0331,0.022727715919753585
0712020101_0341,0.12222133272713794
0712020101_0342,0.12500012829256024
0712020101_0345,0.06503993697470564
0712020101_0346,0.010416121423285666
0712020101_0348,0.06481410207836902
0712020101_0354,0.02000045158981204
0712020101_0356,0.04321025666931432
0712020101_0365,0.023809963669730354
0712020101_0368,0.03703640982896473
0712020101_0372,0.08823553560952517
0712020101_0394,0.023808937329248447
0712020101_0604,0.0999991789276145
0712020101_0605,0.041667051544347376
0712020101_0608,0.051281380213274615
0712020101_0609,0.0041317055114886
