,hhldsize,hhldsize,hhldsize,hhldsize,hhldsize,age,age,age,age
,1,2,3,4,5,1,2,3,4
region,,,,,,,,,
1,930.0,2675.0,1980.0,3010.0,1415.0,3185.0,4455.0,1160.0,2340.0
