variable_names,psextype,psextype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pedutype,pedutype,pedutype,pedutype,pedutype
variable_categories,1,2,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,,,,,,,,,,,
48,5529,5798,1464,927,1036,2048,1540,1566,1439,888,416,7933,758,938,487,31,450,726,3008,1398,2964,2432,1522
49,6454,5425,931,539,3710,2704,1090,972,892,569,469,8185,804,1062,265,47,543,972,2200,1608,4483,2250,1337
50,6799,6842,1146,835,1027,2401,1626,1784,1795,1568,1456,11929,268,437,167,12,363,464,2602,1654,3431,3827,2127
51,5589,5957,990,865,610,1052,1173,1648,2070,1874,1260,9758,104,609,695,10,284,84,2286,1421,2685,3039,2113
52,6202,6500,1326,1208,617,935,1438,2037,2028,1838,1272,11487,178,610,51,4,271,97,2855,1285,2650,3565,2345
53,5393,5470,1335,814,679,1503,1418,1527,1598,1206,781,9300,201,765,82,27,374,111,2660,1490,2727,2476,1509
54,5635,5707,1468,869,940,1717,1557,1532,1525,1013,718,9493,362,352,153,13,430,537,3497,2010,3181,1661,992
55,5400,5576,1683,864,1020,1974,1389,1316,1319,842,567,8693,615,444,192,17,438,573,3655,2384,2898,1412,625
56,5649,5759,1825,928,948,1912,1699,1446,1179,844,623,8279,1086,349,429,25,539,700,3982,2173,2574,1618,1060
57,5474,5304,1424,899,937,2083,1533,1474,1195,708,522,8446,629,242,180,19,361,899,3438,1817,2478,2040,1004
58,5977,5597,1668,1052,1387,2363,1588,1372,1164,653,325,7531,1246,310,398,21,512,1555,4652,2134,2527,1461,798
59,5833,5825,2023,1262,1334,1931,1588,1392,1160,619,346,7236,1923,272,363,34,447,1380,5608,2576,2425,741,306
60,5428,5621,1503,1183,822,1575,1467,1657,1516,805,516,8099,952,635,326,14,575,445,3230,1479,2860,2164,1314
61,7593,7886,3279,1897,1584,2679,2286,1680,1192,598,281,10964,1696,485,245,65,638,1385,7765,3418,2960,974,361
62,5836,5829,2242,1591,1539,1628,1607,1341,921,473,319,8020,588,181,274,24,245,2330,7040,2501,1713,320,89
63,6648,6805,2705,1768,1745,2122,1752,1532,1044,490,291,7387,919,226,268,57,484,4110,7595,3044,2267,390,156
64,5750,5841,2159,1380,1270,1714,1527,1456,1115,638,329,8473,1065,395,247,46,398,965,5674,2667,2416,575,257
65,5706,5816,1876,1156,1344,1729,1467,1399,1313,752,484,8648,807,506,241,1,373,945,4683,2545,3128,830,336
66,6326,6616,1608,1075,1314,1884,1512,1868,1748,1145,786,10588,568,637,180,7,484,477,3720,2845,3709,1726,942
67,5532,5874,1626,1049,998,1586,1335,1535,1523,968,782,9469,379,465,80,19,467,525,3441,2439,3313,1582,629
68,5550,5405,1426,1093,899,1533,1514,1632,1439,892,525,9270,253,642,119,35,376,259,3229,2035,3294,1638,758
69,6099,6424,1801,1313,865,1431,1851,1887,1594,1169,609,10576,351,728,111,30,514,212,3619,1904,3300,2486,1213
70,5626,6655,903,668,539,963,805,842,1459,2674,3427,10829,567,127,59,18,251,429,2657,3394,3880,1466,885
71,5741,6161,1614,1324,809,1236,1578,1386,1208,1600,1143,10082,797,323,54,14,325,304,3553,2393,3437,1665,852
72,6200,6731,1919,1495,1079,1508,1951,1761,1435,1202,578,9896,950,578,154,22,649,680,4299,2218,3855,1596,961
73,5956,5999,2101,1400,1230,1896,1699,1439,1141,655,391,8382,1155,343,233,33,490,1317,4871,2335,3280,1005,463
74,7327,6860,2171,1498,1077,1973,1915,1761,1603,1457,727,11054,751,270,546,21,467,1075,5103,2937,4007,1465,673
75,5135,5471,1633,1119,1017,1282,1156,1104,1247,1202,844,6027,155,70,1555,2,441,2355,4036,2500,2813,841,415
76,6204,6542,1693,1052,1380,1462,1510,1533,1633,1494,987,9864,290,405,328,6,681,1169,3896,2200,3681,1834,1133
77,5717,5968,1305,934,1039,1270,1296,1311,1694,1602,1230,9992,232,296,90,13,655,404,2728,2090,3465,1963,1437
78,5047,5550,903,814,845,1069,991,1278,1739,1675,1279,9133,167,594,102,9,339,252,1990,1320,2576,2447,2262
79,7358,6889,2048,1305,1050,1697,1912,1726,1534,1620,1353,11642,619,304,173,4,695,808,4315,2376,4069,2172,1314
80,4647,5172,1069,628,933,1511,1052,1097,1392,1115,1019,7994,556,245,183,52,349,438,2471,1865,2853,1545,1084
81,5320,5144,874,654,3152,1567,1082,920,1019,732,462,7643,470,519,299,41,561,929,2555,1994,3726,1396,791
82,5347,5394,1739,1257,1353,1463,1445,1124,1112,749,495,6687,387,123,949,9,905,1678,5554,2399,2219,396,171
83,5675,6091,1759,920,1382,1680,1337,1351,1467,1039,827,8626,765,431,208,10,823,900,3731,2399,3662,1255,717
84,8990,9085,2871,2030,1625,2232,1955,2059,2327,1804,1169,6759,148,87,10172,21,434,450,7363,4201,4805,993,712
85,7031,7106,1696,1215,2917,1937,1541,1474,1666,1086,602,9075,181,276,3708,27,545,323,3832,2746,4329,1945,1284
86,11186,11614,2215,1554,1496,2079,2010,2494,3967,4180,2802,20854,143,234,351,11,600,604,5531,5124,7576,2702,1865
87,11577,11267,2292,1673,1424,2273,2046,2559,3630,3902,3042,20348,233,253,845,50,527,586,6825,6840,6914,1443,820
88,10791,10179,3352,1973,2408,2874,2262,2175,2033,1954,1934,16346,428,271,314,6,601,3001,9120,4354,5434,1345,715
89,5786,5528,1532,1052,940,1346,1194,1237,1550,1414,1047,9093,144,91,1404,8,323,251,3942,2631,3479,865,396
90,7244,7641,2114,1468,974,1684,1847,1630,1866,2050,1249,13244,340,259,230,7,501,301,4780,3473,4358,1560,714
91,7570,5322,1384,947,1022,1992,1837,1434,1527,1663,1083,10132,697,132,913,78,472,467,4293,3073,3695,1186,644
92,7093,7184,2350,1459,1287,1904,1945,1576,1511,1373,870,10056,867,295,1023,30,873,1131,5646,3203,3881,1032,514
93,8602,8597,2430,1578,1521,2081,1883,1929,2264,2025,1484,14818,539,283,175,50,560,772,6110,3587,4824,1678,999
94,13189,13374,4286,2760,2139,3934,3756,3347,2822,2049,1468,23351,456,1026,343,160,800,426,9242,6110,5229,3976,2005
95,11605,11642,3603,2098,3457,3512,3031,2589,2301,1584,1071,17840,883,574,207,555,772,2415,8050,4719,5572,3021,1884
96,7650,7864,1844,1343,1040,1597,1604,1907,2336,2206,1633,14717,96,128,164,46,281,80,4897,4550,4154,1287,625
97,6673,6797,1625,1184,984,1342,1423,1713,2021,1749,1427,12716,152,58,76,10,285,170,4483,4252,3356,920,456
98,9397,9779,2870,1809,1907,2647,2423,2339,2231,1675,1274,16520,1680,162,84,16,451,262,6367,5383,4573,1872,980
99,4852,5214,1550,1091,860,1334,1218,1233,1311,861,605,5608,3754,58,17,6,522,98,3962,2737,2247,753,364
100,5109,5044,1390,972,841,1210,1247,1296,1372,1064,756,5875,3800,20,16,7,344,89,3888,3084,2315,579,285
101,5367,5654,1445,1053,1123,1366,1274,1459,1396,1101,802,9623,834,67,40,1,356,99,3850,3348,2425,901,495
102,9899,10879,3129,1727,1778,3060,2549,2640,2708,1952,1232,12781,6567,374,75,6,575,398,6504,4757,5233,2758,1525
103,8870,9635,2700,1617,1658,2756,2474,2201,2385,1586,1124,9222,7926,506,59,3,408,378,5704,3513,4062,3136,2089
104,9605,9996,2813,1936,2457,2791,2537,2424,2180,1489,971,16567,1848,236,87,9,504,347,6021,4688,5282,2401,1208
105,5845,6099,1725,1072,851,1575,1589,1558,1484,1237,850,10590,850,133,50,5,256,59,3685,3050,3029,1454,726
106,7041,7257,1999,1339,1534,1763,1619,1802,1868,1387,986,12709,479,137,76,3,387,505,5124,4204,3253,1142,575
107,9320,9719,2742,1889,1667,2489,2323,2460,2453,1785,1228,14926,964,665,317,4,852,1308,6874,4817,4759,1768,818
108,4932,5077,1453,1006,792,1109,1145,1278,1341,1087,794,8362,410,92,169,9,266,698,3792,3058,2341,543,274
109,7989,8364,1998,1271,1494,1883,1827,2033,2347,1988,1508,13762,1738,108,109,3,382,247,4843,4276,4819,1596,818
110,4799,4969,1319,856,938,1243,1146,1232,1364,1005,662,5178,4293,70,25,33,117,49,3114,3125,2332,803,393
111,5097,4978,1349,875,899,1200,1221,1309,1364,1046,809,6657,3103,17,30,0,119,147,3531,3246,2203,759,334
112,4814,5174,1343,902,1044,1131,1091,1232,1412,1035,795,6109,3606,55,62,0,91,64,3373,2924,2389,896,405
113,5061,5288,1437,985,820,1206,1236,1345,1412,1107,797,7098,2596,37,58,8,192,357,3468,3104,2650,789,335
114,6962,7172,1208,821,3126,2530,1642,1420,1392,1286,706,8129,1062,3161,84,68,1021,607,2369,1374,3190,3595,3605
115,8430,8914,1722,858,1286,4520,3014,2031,1724,1291,898,6019,4076,4051,192,83,1155,1767,4826,2332,3464,4295,2426
116,6382,6942,1510,875,734,1875,2057,1958,1874,1487,950,7803,1963,1879,37,49,1039,552,2968,1076,2163,3702,3414
117,6622,7067,2285,1433,1281,2335,2065,1662,1325,825,475,2365,4137,1186,194,114,763,4929,6637,2561,2844,1096,551
118,8494,8946,2205,1268,1202,2781,2404,2462,2458,1546,1111,7116,1676,5574,110,118,1293,1552,5229,2754,3897,3666,1892
119,7141,7312,1974,1174,1041,2063,2172,1985,2005,1213,822,6940,1415,3331,97,140,897,1631,4700,2714,3510,2436,1091
120,7962,8043,2104,1363,1575,2777,2197,2094,1943,1117,831,5528,1469,4490,132,313,1107,2964,5430,3706,3664,2357,848
121,7589,7258,1976,1167,1110,2444,2309,1938,1815,1235,849,3370,628,7659,68,186,776,2157,4106,2894,3093,2926,1826
122,10281,10490,2907,1728,1329,3326,3336,2980,2475,1428,1260,5245,651,11877,96,181,1021,1698,5649,3148,3490,4545,3938
123,11602,12079,3433,2376,1327,2966,3641,3742,3108,1787,1296,14200,553,6903,79,93,1248,603,6747,2528,4801,5700,3903
124,9746,9122,1874,1324,1270,2079,2020,2269,3233,2883,1912,16320,261,293,445,31,950,566,4794,4477,6479,2046,1070
125,5908,6074,1445,869,2297,1676,1377,1251,1292,1048,724,9880,257,565,64,41,534,639,2999,1820,4152,2017,992
126,5273,5361,1410,824,984,1220,1084,1189,1617,1326,976,8536,129,514,210,23,747,473,3381,2324,3641,874,413
127,6347,6251,1789,1285,991,1505,1444,1523,1744,1344,969,10706,125,238,289,14,410,812,4726,3049,3495,976,350
128,6149,6152,1843,1083,1240,2116,1752,1650,1238,867,509,4441,2025,1709,50,52,596,3427,5359,2298,2831,1215,597
129,6029,6536,1405,923,955,1694,1726,1765,1834,1342,917,5619,1611,3462,46,56,946,823,3221,1759,3383,2566,1635
130,6753,6914,1812,965,1164,2072,1890,1801,1970,1236,754,8627,640,1730,44,86,1039,1499,3818,2152,3912,2552,1231
131,6129,6751,1369,1293,805,1160,1402,1814,1818,1672,1543,10173,144,1604,20,34,738,164,2944,800,2275,3872,2988
132,6583,6729,1921,1721,776,905,2038,2480,1642,1066,759,7444,256,4639,37,28,698,208,3948,971,1950,3777,2666
133,5905,6225,1515,894,868,1545,1581,1694,1812,1282,935,8732,375,1695,38,26,819,444,2870,1192,2834,3309,1923
134,6722,6848,2100,1140,1288,2102,1888,1744,1669,1005,631,5907,1423,1864,108,72,1227,2967,5100,2581,3629,1621,638
135,5671,6105,1646,1305,1150,1640,1478,1623,1511,865,555,4909,2407,1399,77,99,1046,1836,4138,2382,3496,1279,479
136,5912,6117,1729,1435,1103,1283,1591,1674,1564,987,660,7875,986,949,129,69,855,1164,3924,2178,3799,1492,636
137,7094,5890,1426,996,996,1778,1517,1503,2028,1684,1053,10797,499,220,520,57,601,288,3883,3243,4058,1156,643
138,9369,9476,2175,1608,1337,1918,2109,2639,3194,2419,1444,16495,147,803,170,43,759,425,4782,3513,5655,3219,1674
139,7736,7014,2650,1781,1532,2234,1836,1710,1462,902,639,9880,166,506,139,45,516,3497,8205,2685,2971,641,247
140,9167,9837,2606,1815,1939,2858,2421,2271,2096,1673,1323,12751,1034,2374,189,25,1024,1604,5646,2852,5582,3130,1792
141,5315,5336,2145,1124,1291,1774,1215,1087,1004,596,410,6192,720,1567,69,17,409,1675,5048,1785,2958,648,211
142,8711,8838,3195,1942,1767,3064,2178,1880,1687,1090,743,10278,1810,1782,284,22,726,2643,8302,3373,4260,1176,437
143,5538,5722,2287,1262,1273,1717,1458,1142,1015,637,466,6297,571,2049,111,11,286,1932,6093,1941,2344,610,271
144,5927,5967,2010,1287,1030,1680,1564,1422,1319,969,612,8234,337,1357,107,35,663,1159,4031,1869,3431,1678,884
145,6720,6613,2327,1624,1158,1650,1645,1573,1588,1010,755,10219,80,493,177,9,454,1900,6366,2284,3146,1080,456
146,6768,6806,1583,1025,1736,1827,1726,1473,1866,1471,864,10828,158,415,668,54,851,598,3564,2477,4567,1981,983
147,9259,8835,3096,2086,1899,2663,2195,2021,1857,1269,1005,11692,435,265,193,29,632,4846,8814,3227,4300,1254,497
148,10981,9285,3460,2274,2304,3237,2705,2407,2049,1109,718,15997,547,1264,175,26,565,1691,10014,4299,4215,1200,537
149,10778,11045,3570,2515,2141,3451,2914,2547,2301,1467,912,15547,1372,1928,145,51,922,1856,8050,4199,5886,2439,1248
150,8088,8323,3339,1977,1792,2407,1824,1793,1545,1039,693,12058,1125,336,220,30,387,2254,8663,3453,3073,793,428
151,5599,5468,2256,1367,1305,1753,1359,1194,990,550,291,7489,723,261,166,11,224,2192,6284,2506,1870,293,113
152,10016,9143,3182,1878,1647,2840,2400,2187,2350,1609,1062,15179,1051,465,181,24,877,1380,7852,4441,4741,1465,658
153,8298,6756,2529,1569,1632,2584,2023,1785,1431,860,640,10214,995,540,224,33,611,2435,6825,3019,3756,1036,417
154,7501,7646,1942,1266,1094,1686,1723,1814,2338,2084,1197,12180,203,253,622,22,640,1226,4883,3401,4582,1474,805
155,7290,6546,1806,1554,1281,1720,1698,2146,2001,1032,595,9761,722,1102,157,5,795,1292,4930,2409,3807,1803,885
156,9642,9757,2982,2018,1758,2480,2594,2897,2378,1315,974,13632,768,2300,188,23,1111,1376,6395,2912,5310,3319,1462
157,8256,8197,2773,1828,1470,2466,2114,2058,1988,1062,690,10400,3383,720,98,13,723,1115,6538,3592,4528,1132,660
158,8284,8554,2915,2058,1761,2191,2029,2281,1968,997,633,7920,2072,789,244,65,849,4896,7801,3309,4142,1124,461
159,9040,9213,2002,1446,2056,2360,2270,2531,2500,1655,1429,9984,1013,3603,72,46,803,2730,4881,2867,5002,3601,1900
160,7147,7234,1939,1407,1375,1942,1880,1998,1756,1155,924,9654,512,1660,91,4,395,2063,5623,2876,3212,1918,751
161,7643,7753,2262,1573,1686,2478,2072,1956,1711,980,675,9812,516,654,95,7,348,3962,7954,3322,2743,1109,267
162,6603,6688,1528,1093,1287,1947,1660,1948,1905,1152,768,9511,269,1023,54,5,405,2021,4927,2715,3354,1592,701
163,5444,5731,1298,1062,724,1118,1366,1828,1679,1156,941,6691,1084,1925,95,22,597,760,2961,1330,2420,2496,1967
164,8647,9077,2298,1562,2274,2628,2304,2344,2046,1357,908,8709,563,2933,224,97,1165,4032,6893,3768,4561,1777,722
165,8083,8772,1990,1603,1618,2008,1996,2266,2376,1724,1270,11508,537,2090,132,35,1086,1465,4564,2540,4881,2854,2014
166,7456,7580,2304,1487,2015,2251,2028,1865,1514,896,673,7212,805,1548,376,16,655,4423,6885,2812,3566,1329,445
167,5484,5643,1285,981,1146,1501,1403,1497,1494,1060,756,4730,430,3313,104,32,546,1970,3342,2086,2887,2033,777
168,5455,5769,1320,846,903,1555,1365,1543,1722,1234,734,2895,281,6543,44,7,347,1105,3082,1727,2397,2800,1217
169,5760,6086,1581,1056,1149,1734,1566,1524,1530,996,706,4346,379,2794,57,23,651,3594,4261,2661,2865,1549,509
170,5542,5606,1500,1001,1257,1711,1393,1537,1346,795,605,4331,148,1511,98,42,289,4727,4882,2741,2542,770,212
171,9274,10032,2200,1759,1308,2421,2552,2939,2700,1871,1554,5739,339,10646,49,40,619,1873,5752,3167,3759,4311,2316
172,6633,7320,1681,862,1055,2580,2088,1836,1652,1174,1022,6962,1223,2424,64,28,660,2590,3852,1687,2810,3141,2462
173,9291,10569,2128,1364,1436,3118,2630,2900,2785,1806,1689,14850,349,3185,32,29,665,749,5463,3608,4648,4038,2103
174,5715,6083,1317,769,900,2036,1626,1768,1562,1033,783,8224,357,1539,126,1,575,975,2883,1759,3255,2747,1153
175,6721,6779,1472,926,1144,3018,2063,1782,1486,901,703,9503,731,928,60,31,582,1663,4198,2136,3532,2774,858
176,8276,8568,2337,1389,1458,3046,2617,2183,1984,1111,715,9093,838,1177,68,11,538,5116,6381,2803,3835,2724,1098
177,7347,7479,2271,1524,1640,2296,2152,1936,1543,877,584,5167,518,2094,78,6,372,6587,6847,2986,2995,1657,339
178,8792,9256,2233,1565,1418,2562,2582,2639,2275,1525,1247,11645,836,1752,88,17,689,3018,5856,2934,4368,3035,1854
179,9229,9542,2438,1450,1541,2968,2728,2658,2390,1458,1136,11032,769,2655,78,16,770,3449,5937,2999,4330,3637,1866
180,5007,5301,1071,1056,926,796,1154,1605,1656,1225,816,8748,179,718,22,2,490,147,2364,906,2248,2723,2066
181,7660,8206,1779,1044,916,2682,2413,2350,1906,1543,1231,13057,584,1173,62,11,717,260,3201,1157,2879,5187,3440
182,5183,5132,984,533,630,2155,1614,1371,1251,990,785,7800,519,971,27,9,567,421,2021,817,1867,3269,2339
183,10094,10452,1756,886,3687,4732,2762,2188,1853,1396,1284,12723,936,4328,147,43,1214,1152,3604,1788,5076,5889,4187
184,7801,8536,1832,985,1208,3474,2735,2176,1788,1140,996,9059,1583,3098,53,17,682,1843,4243,1932,2998,4628,2534
185,5854,5254,680,540,641,2614,1797,1685,1312,960,876,8901,406,776,37,12,614,360,1541,1109,2326,4075,2055
186,8830,8541,1485,801,1569,4354,2759,2357,1897,1256,891,8761,836,2273,46,23,771,4660,4864,2912,3658,4275,1662
187,5671,5752,1456,747,1018,2707,1761,1443,1122,726,440,2960,579,3915,94,38,250,3584,4647,2136,1872,2192,575
188,10740,10005,2536,1460,1879,4778,3245,2553,2062,1239,989,8942,849,3312,314,44,734,6548,8834,3018,3706,3711,1474
189,9767,10081,2447,1510,2028,3552,2871,2526,2269,1498,1146,8604,394,3323,408,17,1047,6054,7590,3294,4344,3236,1383
190,5663,6008,1316,863,902,1835,1666,1703,1417,1083,883,3632,313,5170,56,21,493,1984,3555,1988,2418,2299,1410
