variable_names,psextype,psextype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pagetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pracetype,pedutype,pedutype,pedutype,pedutype,pedutype
variable_categories,1,2,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,,,,,,,,,,,
415,6822,6074,2209,1102,1806,1906,1490,1529,1475,960,415,10800,823,324,103,49,611,186,3712,2211,4282,1740,951
416,5509,5545,1276,811,1004,1640,1312,1370,1570,1212,855,9653,367,286,138,22,447,139,2548,1605,2871,2377,1651
417,5594,5547,1189,804,1449,1903,1234,1264,1374,1115,806,8863,789,230,135,7,652,463,2616,2147,3554,1810,1012
418,6049,5891,1861,1176,1208,2135,1662,1383,1276,818,418,9259,747,385,39,41,896,571,3453,2052,3312,2203,919
419,6050,6153,2222,1166,1333,2394,1560,1210,1187,624,505,7964,1421,351,124,130,883,1330,4460,2751,3498,1063,430
420,6484,6566,1947,1652,1009,1274,1831,2007,1814,1016,495,11413,323,419,64,9,674,144,3882,1279,2912,2872,2104
421,8631,8661,2218,1595,1559,1878,2185,2592,2551,1536,1174,12940,1066,871,23,15,510,1866,5135,3147,3336,3461,2212
422,5706,6126,1548,1452,1174,670,1306,1911,1833,1068,866,10602,207,578,1,1,339,102,3386,1196,1634,3078,2535
423,9367,9826,2568,1681,1530,2788,2528,2721,2427,1603,1344,13599,1977,1579,59,7,610,1358,5611,2955,2792,4313,3519
424,6665,7176,1858,1416,1010,1528,1797,2210,1915,1177,927,10927,1303,781,31,10,401,386,4202,1904,2162,3222,2350
425,7036,7520,2093,1277,1817,2228,1969,1845,1670,883,772,5969,5060,486,80,1,612,2347,5858,3739,3060,1236,662
426,8562,9088,2012,1724,1527,1614,2023,2863,2592,1774,1519,14901,1165,698,29,12,415,429,4620,3479,3625,3544,2382
427,7967,7792,1734,1349,1381,1922,1896,2390,2398,1466,1221,12241,1808,770,19,4,582,334,3972,3618,3672,2702,1794
428,5297,5512,1501,841,982,1833,1473,1278,1332,875,690,6325,2281,863,65,1,372,898,3352,2602,2482,1449,921
429,5865,6444,1703,1191,1767,2024,1490,1453,1294,850,533,3842,4600,348,63,10,829,2615,5116,3052,2697,883,560
430,7766,8546,1877,1599,1132,1701,1948,2299,2489,1697,1566,12574,1757,1227,46,1,396,308,4123,2023,2865,3730,3570
431,5493,5882,1341,1008,866,1360,1410,1689,1602,1171,923,10056,405,240,8,0,332,331,3087,2839,2548,1871,1029
432,5425,5660,1488,937,1135,1646,1340,1413,1433,994,696,8512,983,339,18,0,374,858,3638,3064,2411,1234,738
433,5619,6139,1272,1046,832,1306,1466,1784,1775,1244,1030,9784,449,994,13,16,341,159,2786,2050,2377,2632,1912
434,9024,9176,1878,1490,1357,1904,1889,2806,3148,2165,1561,16935,339,340,48,2,337,197,4469,4421,4252,3041,2015
435,7942,8355,1574,1350,1474,1781,1817,2463,2632,1844,1359,14359,910,495,29,1,330,171,3690,3501,3785,3071,2249
436,6736,6590,1483,1270,976,1230,1576,2031,2125,1441,1192,11678,625,410,10,0,296,306,3409,2890,2938,2249,1839
437,5183,5638,1659,993,1116,1665,1259,1434,1245,753,694,6697,2335,248,40,1,428,1070,4248,3144,2266,729,433
438,5943,6852,1274,1001,935,1702,1611,1766,2010,1298,1196,10770,814,431,36,5,300,437,3348,3643,2757,1865,1181
439,5839,6466,1328,1038,1491,1562,1490,1585,1732,1136,941,8648,2000,608,42,3,425,577,3066,2841,2861,1863,1673
440,6083,6203,1301,1012,1143,1737,1347,1775,1842,1259,868,9413,1300,695,26,0,403,448,3042,2995,2753,1995,1499
441,6208,6841,1798,1146,2023,2483,1635,1447,1158,832,525,5764,4283,644,52,1,538,1765,4288,3308,2409,1520,1523
442,5383,5740,1087,1047,824,1040,1182,1730,1767,1377,1066,9957,245,360,0,1,273,284,2639,2563,2196,1988,1736
443,6884,6669,1574,1240,1088,1802,1615,1909,2076,1337,909,11121,742,612,119,0,732,225,3672,3579,3576,1663,1061
444,6563,6656,1358,1067,1645,1613,1398,1769,1864,1401,1100,10482,849,514,33,1,679,659,3253,2984,3183,2109,1689
445,7522,7548,1495,1159,2792,1688,1513,2028,2095,1349,948,13246,500,737,9,0,325,250,3204,3138,4482,2465,1779
446,5797,5874,1368,968,1196,1446,1391,1651,1757,1121,769,10403,292,158,62,1,395,358,3350,3026,3202,1315,777
447,5107,5649,1485,966,905,1866,1407,1309,1405,843,567,4911,5074,138,41,3,213,374,3594,3405,1822,1172,762
448,7111,7743,1830,1371,883,1730,1732,2170,2115,1630,1389,11574,1702,1142,47,1,300,86,3777,2810,2797,3067,2402
449,7163,7587,1756,1138,2277,2351,1764,1732,1788,1166,774,9683,3155,938,43,5,539,384,3904,3781,3680,2086,1298
450,7555,7702,2000,1541,1137,2103,1972,2336,2138,1279,748,9534,4055,847,29,13,454,323,4511,3650,3414,2337,1344
451,8523,9143,2378,1701,1779,2402,2021,2208,2222,1738,1213,11727,4497,382,117,12,746,183,5776,4447,4604,1817,1022
452,10858,11579,2526,1688,1413,2297,2158,2678,3610,3755,2308,18358,2693,283,108,7,492,493,6499,5679,5263,2954,2040
453,5029,5911,1152,590,1540,1827,1445,1316,1095,1122,851,8623,814,819,11,3,383,284,1869,530,1478,2561,4501
454,6479,6747,1770,775,1008,2991,2066,1520,1495,860,736,4086,6158,356,35,1,492,2095,4083,1935,2066,2451,2689
455,5935,6349,1562,629,983,2864,2046,1372,1277,872,676,5134,6166,283,30,5,358,306,3070,1790,1771,2721,2931
456,7292,9070,3082,1467,1626,2665,2046,1796,1874,1115,688,684,14905,80,41,2,302,346,6221,4650,3427,1132,931
457,8144,8308,1004,344,2335,5779,2702,1567,1280,857,581,10037,4033,1231,46,15,564,524,2135,1336,2200,4928,5853
458,7209,7710,1249,766,4586,2618,1388,1183,1362,1011,754,9683,3403,965,61,15,613,177,2827,2409,5224,2595,1863
459,5630,6011,1683,1077,1014,1503,1509,1453,1562,1151,688,8633,1881,644,41,5,321,114,3377,2135,2706,1832,1590
460,14868,14561,3768,2375,2279,4020,3576,3948,4219,3115,2126,24413,2796,526,154,34,1036,469,8831,7530,7961,3360,1746
461,9443,10007,2075,1560,1246,2300,2122,2612,3113,2389,2029,15511,2399,432,48,31,749,277,5127,4784,5656,2470,1411
462,6139,6309,1105,932,724,1054,1182,1730,2298,1884,1535,11551,273,203,26,10,262,121,2561,2273,3386,2564,1663
463,6380,6621,1295,1032,1224,1511,1336,1741,1956,1497,1406,10942,850,542,36,1,417,211,3182,2932,3677,1916,1292
464,6595,7029,1625,1143,1112,1669,1416,1595,2084,1621,1357,10288,2178,232,66,1,540,318,3967,3633,4003,1367,653
465,7887,8443,2416,2027,1280,1748,2366,2424,2136,1278,652,11152,3170,960,29,7,567,443,5207,2666,3725,2924,1806
466,5605,6467,1407,911,850,1594,1608,1691,1632,1295,1081,8160,2920,351,2,2,360,274,3324,3207,3049,1777,713
467,5363,5741,1247,841,805,1448,1357,1514,1552,1182,1154,7557,2741,227,27,2,269,279,3285,2689,2717,1643,768
468,6424,6073,1248,712,767,1516,1433,1698,1965,1564,1591,8593,3122,201,30,2,366,181,3478,2903,2895,1961,1259
469,9150,9046,2220,1328,1334,2440,2424,2667,2531,1756,1494,9681,6619,587,62,22,738,486,5729,4675,4294,2270,1227
470,8619,9795,2369,1440,1426,2822,2315,2428,2451,1813,1344,10880,5503,760,28,14,665,563,5201,3608,4863,3104,1637
471,4902,6003,1680,1104,1044,1476,1380,1395,1290,875,658,1383,8933,100,27,0,323,137,4389,2915,2340,849,411
472,8066,7123,1849,1129,1018,2761,1974,2072,2058,1386,938,8842,5317,183,63,16,275,491,4790,3124,3245,2547,1481
473,5264,5570,1474,823,783,1504,1435,1608,1477,957,770,7780,1768,301,99,5,482,395,3222,2560,2659,1484,908
474,6367,6739,1751,1215,1354,1846,1734,2039,1620,921,622,9643,1174,850,29,26,402,980,3929,2391,3214,2346,1225
475,6819,7147,1781,1843,1257,1201,1890,2493,1840,983,674,11026,1056,845,26,13,532,467,4145,1832,2842,3024,2122
476,6794,7516,1660,1232,1292,1921,2124,2182,1627,1169,1100,8855,3629,955,3,0,492,374,3633,3032,4097,2117,1430
477,6363,6454,1575,916,1057,1785,1832,1840,1644,1196,969,7840,3087,336,27,13,418,1093,3845,3170,3378,1640,782
478,6124,6693,1828,977,1127,1936,1793,1554,1618,1126,854,5654,6314,216,33,1,298,300,4369,3271,3270,1173,733
479,8837,9252,1284,933,929,1368,1381,1954,3077,3841,3319,16254,1016,228,69,18,313,190,3760,5682,5242,2166,1238
480,7053,7467,1169,980,774,1167,1190,1630,2354,2858,2394,13441,437,246,42,3,232,117,3637,4628,4081,1362,810
481,10421,10716,2787,2187,1706,2641,2740,2969,2850,2059,1195,16730,2279,609,29,7,967,511,6395,5233,5796,2528,1183
482,5610,6157,963,815,588,848,1136,1336,1599,2247,2231,10995,252,280,23,0,126,90,2282,2135,2584,2814,1950
483,5841,6172,1152,707,777,1287,1056,1370,1747,1820,2094,10587,922,137,13,2,133,218,3330,2927,2637,1917,1200
484,6842,6518,1612,1203,1179,1385,1427,1641,1602,1806,1503,11369,1376,131,48,0,163,271,4887,3001,2733,1752,986
485,9965,8795,2296,1537,1519,2393,2204,2397,2708,2196,1507,15238,2807,140,50,4,395,123,6433,5814,4731,1212,569
486,8046,7575,1805,1237,1167,1789,1604,1645,1911,2242,2217,12642,1661,156,21,8,292,838,5395,5234,3261,1146,583
487,6532,6898,2081,1257,1167,1914,1836,1908,1685,1015,564,6898,5367,378,42,7,450,285,4510,3314,3519,1482,602
488,5550,6120,1733,1101,949,1720,1299,1423,1617,1125,700,2603,8569,72,28,0,281,114,4689,3451,2576,655,296
489,5291,5913,1651,1010,1116,1835,1377,1483,1305,831,594,6786,3605,323,31,11,294,153,3666,2729,3026,1300,482
490,7069,7077,1758,1161,1392,2380,1778,1789,1854,1284,748,10807,1559,941,23,4,636,175,3571,2718,3579,2895,1382
491,6952,7459,2000,930,1578,2699,1992,1700,1619,1057,832,9799,2083,1458,22,4,625,417,3686,2330,3765,3006,1623
492,6045,6291,1661,921,865,2018,1409,1582,1787,1355,735,9796,1334,522,17,3,346,316,3266,2370,3142,2346,1211
493,7940,8508,2570,1363,1418,2846,2153,2077,1997,1200,820,9343,5216,649,76,26,713,423,5391,4061,4294,1900,801
494,5859,6268,1503,983,1210,1704,1385,1560,1652,1236,891,8890,2075,310,66,2,608,174,3378,2683,3641,1676,749
495,9633,9592,2541,1534,2479,2868,2056,2130,2568,1793,1254,12402,4770,587,75,31,1100,256,5510,4281,5939,2254,1240
496,5628,6142,1163,896,772,1035,1177,1415,1832,2022,1454,9777,1148,333,40,18,197,255,2811,3308,3316,1443,889
497,8946,9681,2006,1434,1249,1889,1882,2332,2704,2760,2368,16581,998,206,55,2,487,294,5270,5449,5221,1809,876
498,7674,8314,2469,1370,1563,2657,1991,2079,1926,1202,727,7740,6775,212,53,14,688,503,6109,4536,3313,1397,631
499,8806,8893,1957,1422,1552,3279,2495,2492,2096,1360,1043,13964,2031,592,21,4,651,433,4690,3037,3614,3795,2562
500,7925,8404,2154,1532,1156,2452,2212,2574,2077,1341,827,12920,1254,933,29,11,671,508,4782,3486,3514,2947,1599
501,8204,8531,2011,1422,1228,2395,2267,2530,2155,1615,1108,13352,1469,596,43,7,660,606,4613,3501,4082,2993,1546
502,8564,8859,2381,1393,3071,2855,2329,1963,1758,1017,655,10475,3791,1632,98,14,802,611,5069,2863,4557,3144,1788
503,6529,6703,1946,1250,941,1827,1759,1717,1804,1186,798,10331,1292,278,29,8,329,962,5141,3508,2880,1225,476
504,10209,10782,2841,1920,1794,3548,2976,2790,2571,1569,980,13682,4481,906,53,17,775,1076,6541,4770,5333,3023,1323
505,11632,12220,3585,2312,1528,2757,3407,3165,2709,2550,1837,17774,2798,576,58,5,745,1895,7892,4729,5808,3418,2003
506,7402,8002,1448,1090,997,1348,1402,1785,2355,2583,2394,13275,1335,186,28,5,379,195,4055,3961,3835,2180,1372
507,10178,8881,2096,1580,1461,2533,2568,2582,2707,2103,1426,12726,5571,61,87,12,299,301,6636,5632,4540,1431,819
508,5429,5869,1301,865,742,1172,1199,1381,1665,1581,1388,9653,1081,127,31,0,271,132,3310,3079,3072,1139,697
509,8174,8656,952,570,545,1146,1137,1269,2327,5082,3797,14687,1525,185,23,7,275,125,2746,4869,4667,2699,1847
510,9428,9543,2102,1816,1399,2047,2238,2491,2462,2523,1890,15355,2032,472,76,3,482,549,5606,4711,5162,2307,1184
511,5793,6522,733,590,441,858,897,1223,2023,2802,2745,11415,321,176,28,2,125,246,2144,2786,3297,2428,1659
512,9266,9533,1796,1551,1254,1983,2106,2609,2909,2559,2030,16829,959,313,28,1,337,331,4710,5778,4906,2287,1116
513,8841,9235,2575,1700,1459,2356,2139,2224,2214,1968,1438,14072,2651,211,29,19,528,564,6706,5052,4069,1507,740
514,6092,6218,1514,934,867,1667,1407,1518,1543,1708,1150,8970,1949,283,8,5,234,858,4011,2920,2809,1596,973
515,6156,6115,1066,684,1118,1119,1108,1178,1656,2387,1952,10893,381,196,13,5,189,591,2773,2384,3282,2336,1494
516,6934,7648,1916,1358,1312,1673,1838,1923,2088,1616,856,10569,2855,584,29,3,400,140,3912,2248,3319,2943,2159
517,6833,7560,1445,710,5012,2516,1293,1085,1065,737,526,7246,6152,444,24,9,357,158,3024,1998,5704,2218,1447
518,6449,6797,1600,1088,932,1305,1520,1777,1844,1820,1356,10934,1449,335,39,0,214,274,3807,3249,3436,1719,1034
519,5971,6627,1277,925,879,1487,1226,1437,1879,1756,1729,10586,1345,172,29,31,226,207,3609,3618,3184,1429,757
520,6158,6420,1309,948,801,1209,1205,1522,1852,2089,1640,11199,604,305,29,3,257,179,3163,2811,2980,2121,1501
521,5228,5445,1119,697,642,1117,978,1344,1629,1848,1296,9122,1077,136,32,11,223,70,3177,3651,2394,960,490
522,5156,5538,1381,924,929,1352,1256,1271,1392,1164,1020,8302,1848,197,13,7,230,93,3264,2962,2636,1120,710
523,6595,7374,1395,1073,841,1321,1216,1494,1851,2481,2294,11475,1692,166,59,0,363,211,3893,4179,3782,1399,715
524,7821,8019,1445,1180,1007,1439,1465,2004,2449,2408,2442,13861,914,221,79,12,302,450,3948,3355,4325,2688,1523
525,5994,6534,1636,1077,1126,1700,1876,1925,1509,929,748,10949,714,130,18,0,146,569,4214,2797,2985,1666,864
526,4666,5622,1438,1027,986,1423,1371,1310,1205,864,661,3707,6038,77,8,0,157,300,4138,2956,2129,757,306
527,5030,5472,1344,860,907,1522,1406,1387,1381,947,743,4913,4829,184,60,0,175,340,3461,2331,2782,1296,630
528,5065,5325,1022,736,654,1183,1480,1592,1473,1172,1075,8944,413,252,16,9,180,573,2354,1454,2633,2340,1608
529,5550,5649,1640,947,1107,1865,1481,1304,1434,803,616,2887,7642,159,3,18,155,332,4473,2944,2493,923,365
530,5097,5538,1601,1060,967,1422,1206,1510,1293,971,602,3316,6459,53,5,2,91,705,4770,2909,2069,613,272
531,5007,5665,1182,831,975,1306,1378,1820,1276,1000,902,9861,152,82,1,0,81,494,3996,3069,2123,1084,399
532,6580,6810,1688,1158,1110,1985,2000,2059,1648,980,760,12346,337,303,3,0,193,206,4639,2400,2652,2329,1369
533,4817,5214,896,662,761,1230,1218,1640,1241,1101,1279,9328,196,39,2,0,59,404,4347,2810,1812,801,259
534,4999,5421,1255,764,803,1420,1419,1531,1430,951,844,8259,1467,99,17,2,88,485,4122,2480,2045,1263,508
535,5681,5953,1610,811,989,2179,1728,1503,1303,856,652,4874,5468,132,24,9,196,928,4616,2738,2231,1315,733
536,5294,5117,1144,531,710,1805,1695,1570,1265,896,793,7613,820,216,19,0,240,1502,2532,1552,2155,2368,1803
537,6127,5657,1321,748,889,2070,1804,1695,1337,997,918,9840,1128,82,36,9,229,458,4970,3157,1901,1146,609
538,5449,5736,1310,671,686,2152,1649,1595,1322,957,839,10004,575,220,9,0,172,200,2719,1696,1861,2685,2222
539,5571,5993,1041,666,866,1429,1580,1940,1438,1108,1492,10863,280,94,4,2,153,166,3935,3241,2360,1446,581
540,5130,5533,1311,893,1159,1219,1240,1506,1427,1018,886,9727,304,305,4,1,216,103,2675,1337,2329,2258,2061
541,4863,5393,1027,573,853,1540,1285,1463,1419,1001,1091,9327,385,248,7,0,176,109,2730,2242,2313,1933,1035
542,5478,5677,1075,820,1235,1383,1485,1737,1406,1097,913,10259,325,126,7,0,112,324,3497,2553,2532,1835,736
543,5118,5612,1181,985,1047,1307,1525,1820,1289,889,684,9821,273,235,3,1,121,274,3390,2302,2640,1739,658
544,4689,5342,1057,664,768,1433,1288,1466,1305,982,1064,9012,201,292,3,0,155,365,2694,1887,2430,1880,1137
545,5532,6133,1452,1127,1115,1514,1568,1964,1348,839,735,9651,573,281,43,0,260,855,3416,2150,3130,2111,857
546,5702,5847,1606,1061,1051,1521,1710,1748,1347,853,648,7733,2834,226,13,0,210,531,4333,3164,2389,1234,427
547,5891,6195,1806,1312,1032,1462,1705,1836,1327,918,685,8971,2030,350,30,2,380,321,4323,2375,2653,1835,899
548,5951,5821,2377,1326,1053,1916,1546,1359,1139,618,433,8160,2495,127,77,2,381,527,6114,2327,2153,805,371
549,5706,5301,1315,815,784,1453,1541,1551,1565,1238,742,8998,1410,112,9,5,215,256,3355,2490,2654,1647,860
550,5595,5566,1374,954,791,1345,1358,1496,1662,1346,832,9840,904,101,53,2,151,108,3267,3154,2611,1379,749
551,10368,10032,2842,1682,1859,3265,2441,2426,2685,1874,1323,16032,1984,610,78,27,1009,658,5905,4237,5792,2835,1630
552,5617,4996,1399,959,919,1287,1211,1398,1339,1095,1003,8771,1005,92,156,11,207,369,4445,3168,2214,532,253
553,7517,7691,2352,1618,1259,2097,1988,2104,1765,1229,792,7882,5477,382,62,0,486,917,5666,3380,3647,1746,768
554,7220,7726,2248,1557,1164,2040,2154,2209,1832,1101,638,8657,3678,944,48,0,579,1037,5268,2715,3443,2335,1183
555,6703,7121,1991,1194,1122,2318,2131,1961,1539,1004,561,10312,1046,1322,11,4,453,673,3669,1714,3241,3488,1710
556,6684,6784,1781,1145,1220,2496,2100,1680,1576,910,557,8331,3153,428,46,0,407,1101,4635,3203,3212,1760,657
557,6141,6071,1421,779,928,2780,1846,1578,1364,853,661,9282,1572,361,14,5,384,592,3360,2709,2727,2384,1031
558,5690,6303,1903,1061,1338,2422,1533,1347,1217,719,451,4089,6308,340,36,0,404,814,4431,2602,2838,1541,580
559,5792,6327,1449,1074,989,2094,1535,1597,1539,1037,803,7783,2812,444,54,3,362,657,3383,2018,2942,2216,1559
560,6174,5864,1184,738,3461,1882,1346,1213,1092,665,455,8875,1254,763,23,10,374,738,2731,2283,4740,1629,654
561,7477,7795,2152,1451,1246,2459,2437,2150,1656,1056,662,10797,1559,1049,42,38,659,1126,4697,2990,3704,2647,1233
562,6804,7018,1764,1283,1655,2100,2053,2008,1432,916,610,10022,1593,910,33,16,552,693,4053,2462,3622,2457,1226
563,9728,9746,2849,1858,1923,2963,2811,2571,2033,1545,918,13614,2629,514,60,24,812,1820,6758,4701,5085,2016,914
564,7626,8082,2307,1659,1400,2064,2295,2125,1763,1236,857,11635,1500,412,95,3,542,1518,5344,3697,4307,1718,641
565,5627,5837,1270,813,708,1218,1310,1689,1763,1379,1310,10322,298,294,26,3,255,263,2688,1814,2807,2624,1530
566,5900,6481,1408,952,777,1478,1379,1561,1818,1500,1504,7916,3522,387,4,8,371,170,3234,2412,2873,2387,1474
567,7755,8360,2160,1153,1558,2427,2087,1880,1872,1496,1479,9413,5421,305,38,10,456,469,5431,3552,3692,2234,1204
568,6689,7150,1856,1202,1265,1765,1805,2016,1650,1169,1109,10616,2076,292,23,0,378,452,5268,3368,3279,1397,526
569,7002,6891,2007,1270,1209,2040,1855,1902,1568,1113,925,9349,3209,320,96,15,372,529,5559,2870,3170,1556,737
570,7930,8614,1599,1051,1052,2052,1889,2005,2060,2174,2659,11820,3661,396,30,1,355,280,4032,3460,4387,2997,1666
571,5974,6766,793,533,720,1273,1005,1259,1859,2233,3060,9707,2370,225,22,3,188,222,2353,2663,3276,2697,1748
572,5657,6345,1073,840,1010,1086,1133,1486,1707,1756,1908,10540,469,381,7,1,242,360,2353,1652,2817,3046,2132
573,5106,5552,1152,866,721,1010,1125,1414,1501,1314,1551,9156,475,413,24,1,223,364,2607,1907,2514,2287,1341
574,5934,6399,1650,1375,768,1122,1509,1831,1409,1474,1190,9794,1413,508,19,0,337,260,3464,1787,2802,2534,1744
575,7440,7109,1784,1364,1320,1954,1761,2060,2002,1251,1049,9155,4316,446,18,0,301,311,5132,3349,3425,1731,910
576,6577,6888,1733,1120,1160,1518,1677,1621,1622,1593,1417,11343,1168,302,51,11,384,205,4256,3335,3542,1521,811
577,5431,5637,1127,849,682,1028,1143,1464,1686,1698,1389,10234,245,169,31,6,244,136,3043,3382,3007,1089,545
578,6519,7089,1482,950,990,1648,1473,1827,2028,1739,1467,12406,512,177,42,10,327,132,3869,4596,3579,1098,464
579,7019,7311,1941,1445,959,1550,2085,2140,1704,1495,1009,11714,1084,673,61,6,534,256,4153,2656,3602,2636,1282
580,5923,6584,1124,1000,739,1061,1251,1830,1940,1822,1736,11244,420,388,27,5,299,121,2872,2728,3483,2216,1208
581,5312,6109,1071,671,661,1111,1206,1510,1865,1688,1634,10131,398,320,37,20,335,178,2467,2786,3068,2046,1052
582,5306,5725,1252,795,736,1454,1237,1494,1659,1332,1070,8833,1321,251,55,11,341,216,3049,2589,3028,1598,766
583,5562,5828,1192,667,803,1529,1293,1506,1715,1494,1188,9496,991,288,36,11,350,217,2861,3187,3297,1397,648
584,5221,5649,952,632,609,871,1053,1509,1989,1748,1503,9966,197,273,34,18,287,93,2130,2549,3148,1971,1069
585,5607,6045,1251,814,781,1727,1313,1544,1747,1338,1134,9185,823,847,24,2,539,230,3370,3256,3011,1381,632
586,7829,8295,1606,1099,1255,2511,2059,2207,2478,1658,1247,10699,4098,536,43,16,538,192,3930,3256,4075,3081,1782
587,5527,5911,1021,658,849,1324,1202,1572,1901,1521,1386,8996,1632,347,23,2,282,154,2415,2828,3149,2034,1011
588,9282,9748,2373,1660,1884,2391,2230,2291,2346,2082,1770,14428,3151,413,98,15,420,503,6157,5392,4735,1872,872
589,9492,10126,2700,1646,1514,2684,2360,2312,2410,2205,1786,14834,3298,264,71,6,606,538,6680,5276,4942,1847,873
590,7330,7525,2055,1549,1113,1894,1888,1928,1877,1505,1044,12375,1206,380,44,6,311,532,5092,3784,3466,1645,867
591,7525,7592,1929,1370,1274,1877,1575,1827,1788,2029,1446,11296,2762,156,25,2,418,455,5376,4291,3539,1289,622
592,5120,5345,1224,879,728,1073,1023,1338,1680,1453,1064,8645,1417,75,63,3,193,68,3456,3116,2580,857,455
593,10394,10938,2717,2087,1583,2090,2910,3039,2935,2481,1486,18829,1117,659,81,12,520,112,5722,3516,4777,4618,2698
594,5370,5647,1135,777,843,1232,1016,1213,1676,1641,1481,7784,2674,153,36,46,157,163,3397,3269,2790,980,580
595,9906,10405,2530,1819,1452,2325,2440,2724,2701,2432,1884,15165,3512,504,60,10,646,411,6309,5163,5362,2330,1146
596,8910,8554,2214,1644,1394,2380,2239,2487,2369,1675,1059,14921,1037,360,91,40,705,307,5084,3828,4969,2398,1183
597,6483,6950,1113,793,893,1454,1303,1574,2096,2088,2116,11626,1147,201,24,2,272,160,3062,3175,3238,2352,1606
598,6721,7432,1027,919,742,967,1126,1629,2268,2689,2783,13340,217,281,31,4,196,82,2646,3412,3464,2661,1970
599,6789,7579,1285,885,779,1087,1194,1555,2145,2911,2524,13224,508,241,15,4,272,102,3104,4047,3862,2103,1251
600,5633,6164,1438,1075,815,1567,1764,1721,1513,1103,797,9264,1092,550,42,12,399,437,2968,1694,3108,2650,1376
601,5457,5904,1593,902,898,1727,1643,1516,1425,1028,625,7942,1937,502,13,0,373,592,3226,2480,3089,1803,760
602,5416,5749,1340,730,867,1962,1437,1520,1482,1043,781,8683,1184,424,57,6,287,522,2705,2072,3488,2009,890
603,5783,6034,1426,1261,1293,1416,1495,1712,1574,989,648,9153,1298,597,11,3,344,407,3136,1629,3411,2331,1310
604,5847,4888,1337,863,821,1425,1357,1412,1446,1224,847,7936,2380,48,29,7,182,150,3932,3525,2364,590,322
605,6013,6315,1356,945,1125,1361,1331,1598,1783,1603,1224,10149,1068,152,22,0,213,722,3304,3115,3633,1552,722
606,6635,6770,1267,813,1200,1692,1350,1585,2116,1876,1502,9857,2728,223,47,17,320,212,3274,3577,3936,1715,901
607,6718,7357,1220,851,1011,1471,1293,1692,2417,2304,1815,12567,737,289,74,1,262,143,3152,3811,4373,1765,973
608,6416,6651,1707,1165,989,1619,1605,1773,1779,1329,1098,10419,1262,244,52,0,339,748,4006,3349,3695,1431,585
609,7443,7743,2058,1329,1393,2044,1728,1877,2060,1658,1036,10543,3725,228,59,17,415,197,4865,3719,3798,1777,1025
610,5920,5807,2127,1214,1325,2000,1557,1251,1151,701,397,6845,3529,192,48,38,679,394,4161,2767,3138,1067,593
611,7407,7642,1995,1440,2439,2063,1818,1788,1688,1145,670,10709,3510,166,43,27,420,172,4773,3740,4439,1303,792
612,7891,8972,2379,1285,2226,2940,1985,1793,1985,1336,932,6816,8783,445,66,15,494,241,5282,3500,4748,2147,1185
613,6000,5980,1492,1046,995,1809,1547,1560,1487,1239,802,8404,2651,297,43,74,333,175,3373,2185,3070,2118,1234
614,8640,8381,2474,1620,1499,2244,2204,2272,2117,1541,1047,12553,3675,88,60,10,280,352,6868,5183,3482,900,586
615,5595,5914,1787,980,1949,1732,1295,1222,1170,814,557,6541,4216,185,39,13,287,226,3887,2736,3037,1195,652
616,6163,6493,1781,1302,1161,1507,1603,1588,1609,1258,843,8438,3639,117,26,2,178,254,4784,3723,2850,809,490
617,5367,5709,1631,1081,930,1398,1313,1413,1440,1097,770,7005,3256,64,70,2,207,471,4285,3096,2388,778,528
618,5614,6307,1755,1200,1276,1568,1496,1421,1459,1060,684,4531,6822,160,30,5,243,127,4371,2716,3116,988,730
619,5989,6579,1533,968,957,2368,1859,1662,1524,925,770,8758,2139,976,168,6,311,208,2998,1179,1802,4078,2510
620,5841,5881,1569,1592,750,1016,1782,2237,1646,753,374,6810,1281,3033,54,2,340,200,3530,1043,1637,3307,2204
621,5371,6715,1836,1061,1028,1952,1500,1617,1419,1005,666,1183,10369,88,31,0,204,209,3942,2708,2830,1575,1029
622,6031,6827,2132,1435,1066,1826,2016,1750,1286,885,458,1361,11008,55,6,5,224,198,4347,2606,3175,1752,976
623,8189,8436,2530,1776,1084,1941,2448,2769,2136,1235,703,12085,2308,1423,42,8,460,295,5074,1655,2754,4519,2621
624,6483,6259,1252,684,1626,3273,1917,1498,1133,745,610,9160,1950,984,61,20,366,198,2260,905,1812,4560,3203
625,7265,7069,1586,673,1754,3642,2338,1782,1364,811,380,7427,5716,559,41,4,435,151,3118,1994,2841,3540,2840
626,5829,6764,1749,1117,1056,2077,1552,1720,1729,1084,507,839,11435,50,35,3,165,65,3797,2796,3349,1739,910
627,5753,5884,1615,1105,953,1460,1405,1485,1548,1183,879,6212,4954,85,25,7,188,163,4582,3344,2643,657,410
628,8326,7596,2272,1429,1388,2158,2106,2049,2001,1503,1014,10509,4170,69,25,1,313,833,6435,4868,3220,835,563
629,7009,6956,1926,1258,1293,1726,1746,1762,1832,1423,996,8850,4599,96,12,1,177,228,5114,4562,2882,788,617
630,7157,8151,2308,1432,1576,2076,1784,1835,1968,1360,966,6100,8322,307,33,8,362,174,5395,3523,3799,1503,1086
