variable_names,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype
variable_categories,1,2,3,4,5,6,7,8
geo,,,,,,,,
683,441,718,425,407,288,134,101,111
684,621,1143,637,491,266,132,55,77
685,860,1333,619,526,188,91,28,49
686,2585,1856,661,411,151,21,8,11
687,966,1042,506,424,271,140,92,123
688,927,1341,805,795,379,180,78,85
689,773,1192,789,622,379,212,74,179
690,479,891,680,585,413,172,116,96
691,1420,2065,571,463,215,70,49,31
692,1547,2369,875,642,358,100,53,45
693,1267,1851,474,416,219,64,31,19
694,1059,1748,632,511,315,154,57,31
695,952,1313,621,554,385,207,80,56
696,1179,1634,644,680,459,152,25,39
697,1195,1564,700,547,312,147,66,30
698,1537,1573,589,424,159,67,11,4
699,1515,1623,600,498,257,49,19,16
700,910,1323,573,497,301,175,70,32
701,1018,1490,595,515,305,136,53,31
702,748,1554,574,441,431,276,117,61
703,955,1362,485,482,342,231,69,47
704,1161,1621,658,471,296,219,84,40
705,1656,2048,715,522,242,115,21,12
706,2004,2141,768,694,297,103,34,10
707,2131,2651,874,761,318,102,42,14
708,1318,1716,609,457,195,86,24,15
709,1614,1999,746,688,264,87,45,22
710,1517,2065,738,610,300,99,20,26
711,1221,1560,583,376,182,75,30,8
712,1273,1644,599,487,253,72,24,4
713,1588,1978,765,602,285,82,21,16
714,2590,2654,1066,726,360,117,34,7
715,1757,2393,944,683,287,101,56,17
716,1835,2036,904,712,311,105,35,6
717,1557,1486,579,496,241,48,37,16
718,1144,1716,759,697,319,96,6,5
719,1871,2056,981,684,283,82,32,26
720,2723,3051,1115,920,339,156,35,28
721,1569,1563,549,407,184,79,27,10
722,1691,2194,806,701,309,91,23,24
723,2500,2490,1010,732,372,123,57,38
724,1552,2012,771,636,291,114,39,11
725,1900,2304,1012,850,372,104,27,12
726,2958,2783,1132,895,339,75,37,14
727,1976,2148,925,659,355,153,56,21
728,1117,1397,610,494,225,95,23,15
729,1327,1697,609,517,268,49,30,9
730,1767,2272,749,587,307,118,22,24
731,1079,1263,668,469,212,88,12,20
732,1195,1596,509,433,234,66,27,13
733,2644,2652,1136,861,396,199,64,54
734,1191,1943,888,691,395,137,48,29
735,1094,1234,766,737,456,246,100,64
736,927,1450,749,655,353,89,22,9
737,1078,1305,695,735,439,205,60,57
738,792,1654,720,706,404,100,28,22
739,1285,1359,729,677,377,123,62,24
740,946,1266,796,749,451,170,72,35
741,793,1517,1065,1166,549,189,71,30
742,748,1539,675,753,364,112,31,34
743,1050,1420,666,622,296,87,30,4
744,1019,1511,709,610,301,105,30,7
745,1318,1625,653,724,291,82,16,2
746,1645,1951,893,830,342,91,33,11
747,1395,1544,821,608,301,127,26,26
748,967,1372,745,694,282,93,37,18
749,1193,1820,1063,957,547,221,76,79
750,1054,1422,838,713,284,98,18,13
751,1283,1789,969,907,413,160,51,40
752,1224,1234,794,664,476,167,82,55
753,781,1598,674,723,303,88,35,7
754,1275,1619,881,855,398,102,39,17
755,1019,1713,812,914,333,67,16,20
756,1166,1654,770,771,312,94,18,9
757,1869,1924,1035,803,380,202,74,49
758,1542,1627,980,1022,588,280,84,55
759,1390,1525,743,889,448,201,59,20
760,1554,2285,1082,987,429,123,29,15
761,2127,1767,989,843,457,170,39,28
762,1263,1231,585,500,250,129,34,19
763,2008,1693,1009,656,395,149,91,42
764,1840,1799,1038,757,386,127,62,38
765,1314,1715,746,700,254,116,11,10
766,1236,1823,767,974,438,89,14,5
767,925,1172,737,636,324,160,31,95
768,1023,1242,707,647,275,79,18,19
769,1409,1501,792,676,266,79,11,27
770,2092,2324,1068,1019,460,84,33,46
771,1943,2013,1032,899,438,128,50,26
772,1370,1421,765,690,324,117,29,37
773,4299,2690,730,431,195,73,21,19
774,4093,2813,818,640,169,33,12,6
775,1726,1793,910,807,312,145,52,67
776,1405,1544,884,697,388,115,40,24
777,1290,1405,856,712,266,185,55,61
778,1777,1375,1030,840,506,263,80,95
779,1530,1742,783,557,264,118,64,38
780,1666,1433,958,821,535,248,129,88
781,2984,2869,1094,597,198,90,30,25
782,5062,3313,567,215,54,22,0,1
783,1325,1416,917,755,485,261,66,58
784,1070,1053,719,699,520,288,84,104
785,1752,1215,696,453,284,158,59,76
786,4376,2185,958,632,249,63,20,30
787,1251,1253,777,589,353,168,37,37
788,1991,1410,730,466,214,113,35,33
789,1515,1315,761,502,316,164,67,45
790,911,1624,809,871,373,110,75,17
791,1424,2267,1128,946,483,113,47,38
792,1155,1942,1058,1009,561,223,70,18
793,1276,1145,598,464,311,160,64,49
794,1687,1514,780,554,250,92,60,40
795,1339,1529,715,608,277,64,22,15
796,1208,1808,742,787,329,107,41,19
797,1618,2311,1008,908,408,131,56,8
798,1234,1575,638,498,235,74,31,14
799,1328,1279,588,448,214,103,24,40
800,1859,2212,808,768,356,91,38,22
801,1832,2446,1105,897,524,223,70,70
802,1537,2333,847,704,363,190,80,108
803,1065,1473,565,473,242,98,26,16
804,1163,1783,757,555,328,161,52,27
805,1361,1921,747,572,345,125,60,51
806,1907,1726,692,642,364,113,20,24
807,1562,1755,745,523,246,118,57,35
808,756,1503,582,607,337,119,30,33
809,1310,1784,688,565,320,120,59,23
810,2199,2379,1013,811,423,160,45,18
811,1726,2011,776,626,249,125,42,17
812,1557,1911,785,567,320,85,30,25
813,1214,1555,590,483,225,78,22,24
814,1068,1578,643,457,247,72,34,21
815,1324,1541,574,468,203,52,17,17
816,1021,1862,804,734,346,115,19,12
817,1225,1840,803,884,355,46,12,2
818,851,1411,738,960,332,115,24,7
819,1543,1809,813,578,252,54,34,14
820,1444,1656,685,507,196,80,26,5
821,1071,1782,724,603,268,92,17,14
822,1280,2009,1080,901,429,116,49,34
823,1604,1349,592,417,208,79,26,8
824,2035,1621,590,373,188,39,21,17
825,1844,1713,631,469,249,75,18,19
826,1739,1601,778,543,320,141,63,27
827,2956,1792,686,450,192,118,23,19
828,2056,2007,858,726,336,129,58,20
829,1797,1762,638,635,340,129,59,28
830,1341,1991,953,867,346,117,33,11
831,1144,1726,743,669,239,81,37,12
832,1257,1743,681,495,263,72,20,38
833,1764,2294,872,792,362,138,78,61
834,1812,2035,798,552,262,71,21,8
835,1281,1811,736,633,225,80,38,12
836,1164,1512,677,483,273,109,25,27
837,1076,1682,741,585,269,97,46,45
838,1137,1898,722,595,299,93,34,21
839,2556,2600,1050,828,331,90,74,28
840,1630,2058,836,686,302,101,18,28
841,1470,2022,867,668,287,75,33,29
842,1289,1518,755,524,240,58,22,10
843,1453,1883,538,501,320,100,50,23
844,1673,1928,564,440,219,89,32,20
845,1474,1908,553,536,267,81,26,9
846,1681,1876,827,494,225,123,45,16
847,1702,2115,606,520,328,95,25,26
848,1751,2348,798,688,355,151,34,11
849,1486,2020,712,559,249,99,29,25
850,2103,2391,877,710,425,145,25,21
851,2789,3222,1240,1047,448,253,46,37
852,1652,2356,765,747,279,85,13,13
853,1299,1838,570,505,312,95,48,34
854,1424,1812,797,521,217,80,1,21
855,1645,2294,864,837,373,147,32,7
856,2151,2826,1097,1249,443,151,42,17
857,1120,1999,797,804,431,151,17,19
858,2748,2422,1209,903,442,200,85,51
859,1369,1695,477,428,262,86,21,38
860,1557,1893,512,566,337,107,62,28
861,1304,1672,714,695,331,140,48,18
862,2163,2838,975,759,347,159,42,23
863,1482,1847,580,542,318,97,37,39
864,1244,1705,546,487,222,78,20,14
865,1470,1838,455,485,243,89,20,11
866,1911,2285,749,528,329,109,34,26
867,1358,1656,717,646,234,107,39,26
868,1151,1635,615,551,305,77,29,17
869,1760,1848,876,813,403,195,51,63
870,1133,1644,805,716,258,45,22,12
871,2194,2513,884,666,319,64,19,5
872,1142,1864,1079,987,420,179,50,29
873,1367,2047,839,985,397,102,30,30
874,1421,1730,701,501,218,87,33,0
875,1738,1343,510,423,181,67,12,22
876,1194,1909,656,579,287,99,36,33
877,1207,1706,568,470,280,69,42,12
878,1268,1580,550,389,230,44,45,18
879,1413,1744,509,481,250,94,25,26
880,1110,1467,693,690,371,223,44,20
881,1602,2052,836,785,524,171,58,67
882,1745,2236,906,780,400,157,52,38
883,1963,1417,506,454,284,172,40,41
884,1850,1977,898,780,434,206,57,38
885,1178,1579,526,447,251,134,12,26
886,1591,1868,694,545,287,99,49,21
887,2595,2909,1136,789,358,124,29,15
888,1143,1661,695,520,168,42,6,13
889,1057,1371,677,513,206,78,21,33
890,1843,2498,1081,783,348,115,65,38
891,1291,1634,810,630,312,101,25,17
892,1186,1477,704,417,183,84,15,18
893,1091,1429,674,435,223,64,21,17
894,1112,1484,766,472,212,100,55,18
895,1308,1567,739,566,311,58,46,34
896,1328,1491,645,586,248,77,16,27
897,1641,2162,1014,634,277,72,17,17
898,1109,1529,600,578,274,97,25,13
899,1635,2380,921,794,336,147,42,41
900,1175,1517,658,469,243,80,29,16
901,1205,1485,651,598,261,111,21,13
902,871,1599,761,593,267,105,26,11
903,2141,1358,649,377,267,83,36,52
904,2252,1881,673,466,133,39,14,0
905,1359,1725,720,500,288,87,19,10
906,1580,2033,845,612,261,89,26,25
907,1428,1788,851,615,218,97,34,25
908,1604,1808,1001,649,305,150,58,16
909,837,1382,705,672,341,114,42,21
910,1734,1673,674,457,184,74,13,8
911,2336,2907,1310,970,432,149,29,20
912,1414,1812,767,536,216,74,27,18
913,1164,1582,829,634,252,98,32,31
914,1202,1620,729,480,204,85,29,10
915,1250,1911,956,754,284,106,43,17
916,1907,2122,993,799,374,114,57,29
917,985,1593,788,745,414,107,32,31
918,1756,2155,909,794,346,188,53,29
919,1435,1955,842,651,277,92,61,28
920,1303,1993,790,571,244,72,25,16
921,1714,1565,678,475,211,77,33,10
922,1554,1655,722,550,243,55,21,16
923,1843,2328,1143,755,359,117,32,12
924,2267,2297,1039,699,285,101,32,21
925,1849,1780,854,724,287,91,40,27
926,1644,1858,836,578,263,123,41,12
927,1314,1539,646,450,248,64,18,15
928,1882,2188,1207,847,313,109,45,24
929,1365,1804,832,643,378,94,50,51
930,1867,2052,999,695,319,117,61,35
931,1288,1349,698,476,269,107,60,15
932,1098,1480,760,607,320,120,31,13
933,1347,1557,656,533,271,79,35,17
934,1266,1678,769,573,230,101,24,10
935,1897,2233,1073,758,370,158,53,33
936,1133,1451,621,509,181,93,26,15
937,1464,1865,881,513,264,99,22,19
938,2640,2182,946,589,248,109,23,24
939,1229,1577,723,534,298,113,26,35
940,939,1494,723,681,368,57,32,6
941,1152,1810,1008,758,363,104,15,12
942,1834,2186,1129,767,371,181,13,35
943,928,1459,778,661,247,95,35,13
944,1206,1564,838,541,250,101,19,21
945,1022,1378,663,520,285,71,35,19
946,1231,1796,818,705,299,107,33,10
947,1074,1530,729,561,247,81,35,32
948,1432,1483,613,477,190,74,12,16
949,1968,2069,849,690,231,91,15,1
950,1430,1624,848,547,249,129,57,37
951,2276,1565,768,486,197,103,27,28
952,2465,1350,595,320,112,27,10,16
953,2320,1579,573,361,120,47,8,18
954,965,1361,894,584,239,97,35,18
955,1386,1739,542,417,178,39,17,9
956,1772,2645,829,559,216,69,34,26
957,1869,2450,849,734,215,56,25,14
958,1624,2017,799,515,168,59,8,17
959,2197,3071,1019,687,237,78,22,11
960,1339,1688,661,574,212,59,11,14
961,1285,1759,660,536,137,62,5,6
962,1910,3018,1189,798,263,134,16,33
963,1447,2043,819,778,196,106,22,12
964,1813,1852,672,409,141,24,21,13
965,1228,1521,530,429,194,53,8,16
966,1541,1914,887,757,305,110,59,27
967,768,1676,794,773,337,116,45,31
968,1256,1566,766,646,279,139,29,25
969,1239,2136,1101,950,397,160,58,31
970,960,1759,747,601,281,105,27,17
971,1410,1573,913,557,308,126,74,32
972,1478,1611,630,611,234,79,25,26
973,1572,1508,742,523,194,69,4,5
974,1188,1376,763,544,267,95,18,12
975,1264,1246,670,569,223,113,53,26
976,1199,1284,607,567,276,108,39,16
977,1028,1824,837,826,349,108,24,18
978,1196,1525,700,561,255,80,37,22
979,913,1347,602,497,220,88,21,14
980,1988,1466,683,433,251,137,45,49
981,1810,1373,587,414,155,40,21,6
982,1580,1358,759,439,187,98,44,22
983,2446,1661,685,350,202,62,21,22
984,1639,1416,703,363,220,94,39,25
985,936,1703,841,942,341,93,36,32
986,1531,1932,1274,1122,393,143,55,37
987,701,1427,995,937,391,116,34,15
988,1006,1286,983,638,380,164,62,32
989,1714,2213,1222,1106,416,160,49,40
990,2264,2506,1097,1114,382,119,17,12
991,1190,1404,845,766,357,155,78,84
992,910,1266,693,618,382,133,40,45
993,1392,1313,737,652,250,91,40,26
994,796,784,638,526,321,155,58,51
995,1562,1303,851,630,298,118,63,51
996,1126,937,568,452,277,149,61,77
997,1359,1241,658,509,259,137,38,36
998,1680,2035,1140,872,404,190,40,56
999,882,1351,799,557,332,147,67,34
1000,1601,1293,723,386,228,111,30,65
1001,1513,1982,1069,931,491,133,58,37
1002,1056,1486,777,584,227,122,50,32
1003,1084,1731,854,818,333,120,39,8
1004,1504,1986,800,657,288,136,24,38
1005,1852,2722,992,773,321,124,41,34
1006,1920,2575,1056,801,290,119,42,37
1007,1586,2488,1234,1108,519,216,49,49
1008,1320,1752,1046,827,441,177,44,41
1009,1878,2077,742,532,188,44,10,7
1010,1435,1663,684,500,195,42,13,7
1011,2699,2044,1139,743,302,160,38,31
1012,1328,1641,786,593,239,86,17,27
1013,1181,1583,794,703,273,85,24,2
1014,961,1531,758,759,304,84,25,10
1015,1386,2051,1130,846,298,101,20,5
1016,901,1522,638,599,284,68,15,5
1017,967,1377,834,783,270,85,39,9
1018,1126,1127,693,558,260,110,34,30
1019,1414,1781,918,824,292,89,27,2
1020,1620,1999,974,904,252,43,39,16
1021,1488,1725,860,794,290,55,14,9
1022,1701,1768,685,411,85,22,4,3
1023,1355,1641,829,669,255,54,40,34
1024,1305,1577,800,537,248,60,37,28
1025,1717,2012,1196,1164,436,172,55,58
1026,886,1375,754,690,228,100,23,5
1027,2680,3028,1186,1090,354,146,33,2
1028,1210,1009,634,645,271,141,47,38
1029,1426,1796,731,818,265,98,26,8
1030,1012,1581,875,869,278,104,25,5
1031,980,1551,765,919,282,72,21,11
1032,1692,2167,944,696,254,60,20,10
1033,1811,1581,941,690,365,128,69,48
1034,1921,1943,873,704,302,92,16,26
1035,1373,1733,839,690,226,88,19,9
1036,874,1542,832,848,306,85,14,6
1037,1595,1975,1027,862,255,67,15,8
1038,1651,1550,566,255,117,19,7,9
1039,3184,2573,850,508,169,120,22,8
1040,1628,1655,836,509,193,79,12,31
1041,1744,1266,931,600,257,137,55,23
1042,1564,1771,969,650,271,92,24,27
1043,1240,1074,668,525,314,109,46,53
1044,1377,1990,883,903,273,58,15,7
1045,675,1187,551,841,318,96,13,6
1046,1042,1565,856,877,293,112,20,13
1047,1291,1539,767,683,264,105,20,35
1048,1673,1501,761,662,248,106,39,12
1049,1560,1879,780,770,307,100,36,9
1050,1173,1168,860,622,368,124,74,36
1051,1202,1666,818,747,295,113,40,11
1052,1024,1624,706,470,250,31,28,8
1053,1524,1473,823,448,165,66,20,19
1054,1132,1687,831,721,282,103,23,19
1055,1541,1351,804,510,194,87,26,11
1056,1703,2248,652,548,238,89,39,20
1057,1591,2169,578,348,173,46,25,5
1058,1003,1466,697,656,322,94,25,10
1059,939,1376,688,663,284,90,34,5
1060,1215,1869,821,746,324,75,34,3
1061,2321,2871,773,614,254,96,16,63
1062,1783,2239,700,450,188,70,24,25
1063,1759,2574,704,510,220,79,28,29
1064,1710,2612,761,640,271,123,52,30
1065,1804,2653,784,626,233,98,37,29
1066,1284,1819,581,500,238,102,35,50
1067,1821,2404,1014,756,352,159,24,60
1068,1368,2140,781,676,375,179,53,39
1069,849,1538,773,876,363,171,44,28
1070,941,1718,606,536,330,133,46,26
1071,1383,1935,862,771,358,166,35,43
1072,2458,2428,1134,821,432,205,69,54
1073,1441,2215,1005,1081,442,104,51,20
1074,902,1710,770,701,364,128,55,16
1075,1900,2724,1032,793,413,170,66,86
1076,1503,1992,712,560,270,92,26,39
1077,1568,2136,542,407,180,80,25,19
1078,2271,2935,1257,871,320,151,35,8
1079,2384,2818,1188,886,394,121,72,26
1080,1496,2088,752,566,232,108,32,35
1081,1908,2706,1181,908,402,149,57,29
1082,1393,1318,668,511,216,87,24,10
1083,1572,1128,617,419,187,58,39,8
1084,1862,2959,998,920,368,137,37,29
1085,1908,2403,862,796,291,95,15,18
1086,2017,1453,680,401,169,99,37,34
1087,2010,2850,1027,867,432,127,73,30
1088,2293,2908,1066,940,370,141,81,27
1089,1457,2072,785,692,267,62,47,35
1090,1628,1664,612,598,274,87,39,20
1091,1067,1526,612,424,222,121,58,45
1092,1292,1959,749,522,351,87,56,24
1093,1936,2413,798,682,317,122,66,30
1094,1607,2015,790,705,319,118,30,58
1095,1932,2264,869,655,282,118,45,11
1096,909,1688,593,607,225,86,42,7
1097,1672,1858,543,473,136,87,27,20
1098,1620,1800,721,577,253,96,41,32
1099,1605,2830,1088,986,453,126,52,56
1100,1136,1925,837,806,342,94,20,13
1101,939,1938,904,845,328,123,21,8
1102,1697,2259,1089,1090,348,94,11,13
1103,2179,2095,1010,623,273,79,31,32
1104,1430,1619,1021,702,228,63,17,10
1105,1484,2333,920,826,332,142,20,12
1106,2620,2503,1006,734,264,70,31,19
1107,3414,3030,1160,776,292,123,15,11
1108,1184,1714,757,616,292,126,34,18
1109,1392,2093,1019,1130,506,131,39,43
1110,1341,1672,727,718,370,118,44,14
1111,2435,2310,946,727,302,84,12,20
1112,2070,1920,883,759,210,82,44,9
1113,1801,1771,888,676,314,152,59,46
1114,1818,2314,1062,762,339,139,24,24
1115,1983,2614,1255,1099,431,100,30,15
1116,1558,1984,937,686,277,80,14,16
1117,1389,1387,758,606,440,273,149,74
1118,2212,1963,803,689,299,110,48,26
1119,1147,1444,732,515,191,119,32,20
1120,1658,1889,824,657,229,76,26,7
1121,1591,1480,633,550,274,94,29,22
1122,2244,1666,1101,569,305,164,88,58
1123,1959,1360,805,492,261,101,84,40
1124,1475,1046,658,484,218,97,72,53
1125,3207,1578,534,312,209,70,26,38
1126,1607,1006,536,448,279,145,75,88
1127,1154,1236,672,458,287,138,62,72
1128,1588,2287,931,616,391,140,21,16
1129,1816,2095,790,690,305,125,48,44
1130,1335,1876,561,433,264,103,35,39
1131,1494,2172,617,561,258,123,26,25
1132,1846,2343,669,579,237,94,25,22
1133,1451,1522,483,474,198,63,21,4
1134,1535,2431,901,760,399,161,32,36
1135,1586,2279,654,581,273,116,43,30
1136,1885,2577,738,691,323,89,26,23
1137,1664,2157,858,711,339,128,36,53
1138,1031,1835,770,739,344,103,14,27
1139,703,1308,714,571,355,93,58,32
1140,1381,1649,614,603,242,92,45,17
1141,903,1572,684,662,370,79,27,34
1142,1232,1976,745,647,300,85,24,11
1143,893,1418,713,827,399,121,23,23
1144,1478,1950,788,653,280,70,16,8
1145,1495,1442,588,449,235,73,29,28
1146,1730,1279,597,548,357,257,95,107
1147,2239,2061,796,622,327,135,92,65
1148,962,1762,675,715,239,88,45,7
1149,1047,1664,675,778,230,112,20,0
1150,1047,1427,619,579,183,188,90,62
1151,1356,1500,614,477,259,104,38,31
1152,1937,1689,746,586,294,156,52,87
1153,1824,1623,791,532,247,108,92,41
1154,3497,2316,557,537,153,27,19,2
1155,2057,1767,674,644,170,61,16,4
1156,1308,1804,668,645,258,65,30,3
1157,1714,1829,640,529,220,105,14,37
1158,1705,2267,1012,782,296,112,37,30
1159,1013,1752,1073,980,449,101,35,30
1160,1189,1567,753,607,244,54,23,27
1161,805,1490,827,753,326,100,44,67
1162,850,1419,713,793,316,79,20,12
1163,1000,1677,751,851,342,135,36,29
1164,1460,2014,652,671,314,107,39,32
1165,1214,1588,516,425,279,116,26,22
1166,1463,1842,601,447,261,143,24,20
1167,1249,1707,696,642,234,71,24,14
1168,1386,1998,759,673,351,109,44,16
1169,1493,1838,674,608,313,118,35,21
1170,1773,2203,887,868,306,97,65,8
1171,1310,1843,542,469,267,54,16,28
1172,1404,2087,1153,964,449,129,66,33
1173,1587,2047,800,648,316,68,31,17
1174,1248,1397,630,518,332,98,32,33
1175,1622,1850,862,650,253,79,29,18
1176,1426,1760,935,634,361,97,34,18
1177,2103,2241,1058,737,320,116,24,10
1178,1468,1507,636,506,232,96,26,29
1179,1413,1407,640,525,223,102,49,21
1180,954,1240,711,587,270,78,38,19
1181,1188,1285,733,551,239,79,27,15
1182,1737,1364,699,489,235,99,49,37
1183,1102,1230,609,483,192,56,20,12
1184,1619,2277,1145,858,413,181,29,16
1185,1332,1504,657,588,258,87,42,29
1186,1368,1500,720,479,233,56,32,9
1187,2192,2206,988,684,336,73,21,43
1188,1311,1717,726,585,262,137,33,19
1189,1930,2127,969,819,383,117,49,33
1190,1514,1995,792,615,389,119,39,32
1191,2167,2756,1259,881,468,188,62,27
1192,1555,1858,738,638,288,93,57,12
1193,1321,1657,549,416,217,71,31,32
1194,1299,1557,682,455,235,97,62,16
1195,1483,1857,596,477,242,93,27,19
1196,1249,1953,823,733,306,141,42,33
1197,1612,2168,809,569,333,123,29,22
1198,2137,2455,1054,882,362,110,33,25
1199,1457,1801,652,536,268,117,33,30
1200,1307,1987,907,652,307,131,34,31
1201,934,1406,634,648,293,144,15,10
1202,1384,1653,614,556,263,59,27,28
1203,1176,1566,669,589,260,78,27,11
1204,3600,2256,882,512,336,169,58,33
1205,1804,1869,775,474,270,120,26,22
1206,1120,1757,860,721,333,119,64,22
1207,906,1439,672,637,336,93,15,3
1208,2355,2019,871,669,260,86,55,23
1209,1006,1777,762,573,338,100,43,29
1210,1385,1889,733,521,296,95,46,58
1211,1150,1802,572,483,221,77,39,41
1212,1293,2000,620,599,221,79,45,28
1213,1277,1631,642,496,174,81,37,34
1214,1044,1442,693,500,230,123,42,17
1215,940,1540,692,649,289,101,14,18
1216,930,1742,930,893,401,151,48,17
1217,1572,1855,840,664,238,100,21,8
1218,1389,1481,797,492,215,88,51,24
1219,1511,1570,829,546,302,120,32,3
1220,1526,1549,636,445,174,58,14,26
1221,1366,1671,840,573,204,53,20,16
1222,1648,1846,641,566,216,61,10,4
1223,1219,1619,742,698,260,69,8,7
1224,2211,2405,996,802,313,81,40,4
1225,1392,2086,804,781,318,79,12,16
1226,2873,1498,631,352,177,63,14,24
1227,3580,2839,952,664,310,120,59,30
1228,903,1522,759,582,259,145,13,8
1229,868,1656,678,573,280,145,42,5
1230,1269,1807,713,583,338,89,52,28
1231,1315,1881,779,565,250,97,44,7
1232,1270,1477,657,530,246,75,30,11
1233,1128,1609,547,420,238,113,20,14
1234,1398,2024,643,455,216,66,63,40
1235,1310,2379,943,838,329,160,59,49
1236,2052,1876,670,442,227,98,21,13
1237,1759,2101,805,586,172,99,15,26
1238,1411,2420,687,594,381,119,48,33
1239,1881,2388,933,875,449,182,61,23
1240,1553,2072,597,488,255,75,46,16
1241,2488,3508,1119,896,342,102,44,26
1242,2189,2497,784,579,257,97,49,34
1243,1937,2270,721,633,251,117,34,52
1244,1795,2395,857,694,281,85,19,11
1245,1747,2318,736,604,341,166,47,63
1246,1466,1636,631,410,195,81,24,29
1247,1484,1708,490,482,259,115,25,31
1248,2012,2642,854,864,515,236,46,50
1249,1196,1667,596,477,270,107,26,32
1250,1243,1707,482,476,261,91,33,50
1251,1430,1654,632,506,339,101,38,12
1252,1796,2101,653,554,326,115,36,24
1253,1110,1567,574,476,273,126,36,23
1254,1378,2273,1084,1034,521,217,74,41
1255,2187,2223,966,691,363,156,73,21
1256,1521,2234,763,762,308,122,13,22
1257,2072,2593,1019,983,441,161,50,39
1258,1610,2002,989,755,461,120,42,15
1259,1442,1203,591,401,272,153,53,45
1260,1631,1181,482,433,247,142,92,73
1261,2922,2594,1102,706,402,148,64,42
1262,889,1931,828,552,269,121,43,29
1263,1369,1817,954,763,379,180,70,32
1264,1840,2658,865,673,353,165,54,19
1265,1990,2491,883,683,330,195,46,36
1266,1448,1883,932,689,353,166,39,43
1267,984,1605,748,738,304,193,60,20
1268,1192,1758,991,941,636,249,85,91
1269,1213,1406,773,728,427,198,102,72
1270,1618,925,595,515,309,186,89,68
1271,1617,1486,767,562,333,165,91,38
1272,1915,2364,892,629,267,97,20,19
1273,2283,2924,1333,1148,525,201,60,57
1274,2690,2017,827,569,290,99,48,30
1275,1572,1696,698,624,392,154,58,58
1276,2586,3439,1241,1083,462,153,37,31
1277,1536,2375,944,825,424,147,88,41
1278,1597,2097,955,688,363,95,63,45
1279,1601,1929,603,483,137,46,30,18
1280,1471,2346,710,480,198,49,36,10
1281,1507,2366,939,776,276,63,15,10
1282,1158,1731,642,584,183,85,24,15
1283,1445,1906,597,498,220,40,23,15
1284,897,1698,685,572,253,96,15,5
1285,1092,2062,1149,910,310,134,55,14
1286,1451,1555,769,485,204,90,42,20
1287,1455,1816,864,784,288,92,32,29
1288,2018,3032,1267,1104,431,93,31,7
1289,1442,1530,579,410,221,81,41,21
1290,1276,1723,856,756,378,150,42,34
1291,1272,1226,738,542,268,108,62,29
1292,1206,1495,864,701,277,65,35,12
1293,1706,1828,1076,821,272,91,25,7
1294,1039,1285,763,822,309,109,34,17
1295,664,1178,684,756,271,57,14,12
1296,786,1305,645,693,248,72,9,3
1297,787,1164,685,747,299,118,44,32
1298,630,1091,702,771,297,76,16,1
1299,1027,1096,844,773,424,177,99,60
1300,1043,1113,751,695,383,200,76,74
1301,962,1270,660,589,264,107,31,19
1302,775,1263,676,720,237,66,21,12
1303,1727,2136,1098,698,225,56,21,15
1304,1148,1086,792,569,312,113,30,35
1305,1426,1570,1016,713,420,121,43,35
1306,1709,1943,926,642,237,110,38,22
1307,1300,1276,997,674,386,99,45,30
1308,1053,1769,804,714,261,83,13,18
1309,1255,1604,641,746,262,78,43,8
1310,859,1212,902,810,222,98,29,15
1311,652,1183,695,708,301,105,45,25
1312,814,1079,803,646,298,120,47,23
1313,771,1028,819,659,258,121,41,18
1314,1083,1301,791,815,384,108,64,48
1315,871,995,823,672,309,118,35,15
1316,839,1290,799,632,239,60,20,13
1317,916,1321,687,663,245,55,12,34
1318,994,1161,749,670,283,91,27,8
1319,1465,1477,560,447,216,86,16,14
1320,789,1246,662,681,288,115,25,25
1321,1397,1362,582,514,264,56,28,17
1322,990,1195,607,578,284,84,18,15
1323,988,1292,674,658,244,69,27,17
1324,478,1130,672,728,298,102,20,13
1325,1276,2049,711,578,231,75,29,3
1326,1367,1503,677,524,278,50,19,25
1327,1218,1139,459,432,292,155,141,412
1328,1648,1748,566,470,256,72,29,4
1329,1037,1541,705,564,211,78,17,11
1330,1886,1310,983,691,390,143,38,54
1331,1664,1146,742,538,246,109,51,28
1332,1224,1223,705,616,271,95,27,25
1333,2340,1752,1124,861,423,192,94,49
1334,1016,1274,665,704,235,42,26,6
1335,713,1123,608,705,290,91,25,7
1336,1277,1508,735,878,312,104,37,32
1337,954,1529,851,888,355,94,10,9
1338,873,1254,802,757,246,93,15,8
1339,1240,1494,747,665,318,65,21,3
1340,1222,1930,934,807,303,117,27,10
1341,1176,1419,677,568,220,67,24,5
1342,951,992,773,763,365,137,49,45
1343,840,1087,777,624,249,100,42,10
1344,830,1145,644,786,295,78,12,0
1345,795,981,665,578,239,90,42,30
1346,1106,1097,713,649,273,85,38,15
1347,1278,1563,824,651,394,90,22,20
1348,1671,1996,995,872,358,97,24,17
1349,1328,1944,911,945,383,162,43,39
1350,1143,1135,802,559,287,132,50,43
1351,1577,1572,717,671,238,76,13,29
1352,1386,1645,1012,674,382,133,33,19
1353,1098,1481,741,670,286,88,17,15
1354,1320,1532,862,736,275,77,25,9
1355,1252,1760,1033,995,412,122,41,34
1356,1405,1089,554,516,250,119,60,34
1357,1208,1756,1004,805,289,64,23,7
1358,1018,1225,657,554,246,78,22,1
