variable_names,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype,hhsizetype
variable_categories,1,2,3,4,5,6,7,8
geo,,,,,,,,
157,1210,1369,886,805,498,216,102,44
158,765,1106,860,877,546,327,124,114
159,1297,1987,1094,931,508,143,40,53
160,732,1082,775,770,436,165,100,96
161,496,623,626,657,535,293,184,195
162,906,1159,770,678,312,168,68,71
163,851,1281,734,654,276,71,19,33
164,754,1123,791,837,553,288,141,158
165,1209,1852,960,987,390,148,44,30
166,598,876,689,672,461,268,139,128
167,517,938,708,570,351,154,48,32
168,504,1025,710,687,323,111,48,33
169,460,760,635,646,341,178,77,106
170,237,477,521,509,385,210,110,129
171,1128,1933,1334,1171,470,157,68,58
172,1818,1782,826,643,262,80,24,44
173,1953,2280,1414,1212,390,113,31,21
174,1547,1546,767,647,192,64,10,11
175,1878,1683,796,586,250,94,26,34
176,1782,1769,1018,805,436,166,63,39
177,614,1009,685,734,481,305,91,98
178,1506,1881,1021,1047,440,157,69,52
179,1507,1971,1191,1026,427,171,62,66
180,895,1333,684,640,212,28,13,9
181,2442,2630,996,748,185,46,11,8
182,2423,1572,623,352,111,46,2,3
183,3546,2831,1143,761,290,68,35,11
184,2821,2272,1015,638,276,97,19,21
185,2999,2009,488,324,125,19,0,2
186,3485,2340,868,629,270,116,20,31
187,1553,1339,656,571,237,102,33,12
188,2579,2341,1102,875,395,230,109,73
189,1380,1831,1127,933,469,266,153,85
190,1013,1251,857,623,286,107,23,23
191,596,1010,813,695,406,168,85,45
192,490,703,652,692,407,232,116,140
193,958,1475,996,929,477,191,102,43
194,650,896,680,665,419,210,75,68
195,398,630,687,744,553,273,133,99
196,367,570,590,628,486,241,136,148
197,455,639,536,616,436,210,94,88
198,2713,1558,835,584,424,184,114,113
199,355,445,477,572,475,246,138,185
200,843,713,549,515,307,154,54,67
201,2339,1658,892,604,357,138,72,38
202,3137,3001,1157,751,233,73,16,8
203,1031,986,611,537,325,143,37,41
204,1397,1199,872,855,570,277,130,150
205,659,623,630,736,548,369,156,218
206,422,765,688,880,690,332,158,165
207,537,823,714,588,348,167,52,35
208,675,995,718,733,439,238,93,62
209,422,677,596,669,400,227,78,71
210,651,738,665,621,350,211,61,59
211,611,838,688,663,495,323,150,186
212,1216,1427,931,729,480,192,89,61
213,930,863,616,656,292,171,73,51
214,1640,1964,861,870,237,61,6,4
215,1179,1409,976,720,243,81,15,15
216,575,845,648,549,334,149,86,64
217,1050,1164,794,681,488,213,67,51
218,732,1342,1067,963,498,200,56,52
219,1771,1934,799,634,203,67,12,5
220,1188,814,489,415,323,136,68,45
221,1550,1570,1071,851,525,268,119,52
222,1020,1574,702,641,209,53,25,6
223,1375,1097,564,372,214,121,41,13
224,783,1361,654,732,451,279,143,82
225,1314,1588,677,603,203,37,26,9
226,1874,2098,891,767,328,89,17,15
227,518,826,536,495,487,184,73,94
228,942,1333,837,677,555,244,126,68
229,1795,2249,920,808,375,238,72,79
230,729,861,748,852,606,361,147,148
231,460,936,579,642,465,227,116,105
232,1272,1651,746,615,366,142,40,36
233,1235,1735,610,391,142,60,27,14
234,1863,2693,1051,912,400,95,66,23
235,732,1375,677,632,270,86,12,33
236,2813,3183,1220,1122,399,97,20,21
237,2091,2764,1782,1358,525,134,57,29
238,1334,2279,1413,1418,604,174,79,48
239,1064,1950,1140,1209,528,153,55,49
240,1300,1873,1194,1031,509,179,116,94
241,1277,1817,1213,969,501,185,84,50
242,804,954,798,731,531,235,82,102
243,1094,1644,1008,955,535,306,114,113
244,789,1437,849,742,359,162,46,57
245,1049,1388,917,883,493,251,124,96
246,602,1022,831,797,547,279,109,130
247,1983,2625,1294,1093,408,123,47,24
248,544,1196,691,853,294,107,31,6
249,368,640,565,672,460,316,184,278
250,503,741,644,768,577,374,166,205
251,1628,2096,1149,941,419,180,87,13
252,1286,1736,807,877,319,128,19,19
253,1007,1600,663,725,337,127,34,19
254,1186,1810,634,585,224,85,18,30
255,2117,1914,825,664,430,234,76,73
256,2330,2216,549,393,293,81,25,30
257,605,1235,808,952,447,149,51,28
258,586,1222,699,785,452,206,67,85
259,1159,1784,1028,967,695,324,146,81
260,1165,1572,752,815,422,274,122,93
261,1193,1666,602,744,504,209,96,95
262,559,1173,875,897,614,357,166,174
263,374,647,601,653,458,262,138,94
264,902,1280,775,693,440,196,97,44
265,980,1285,859,751,526,242,108,114
266,428,836,556,640,303,189,66,46
267,913,1163,773,827,456,222,66,58
268,482,833,580,818,577,399,134,140
269,2125,2656,719,501,298,113,36,16
270,1220,1480,708,518,211,74,34,15
271,1063,1489,742,571,241,130,39,34
272,1315,1705,730,581,202,38,16,19
273,1481,1469,768,578,324,180,64,61
274,1047,1287,712,619,254,136,35,36
275,627,956,621,650,342,265,104,99
276,2561,1907,620,428,150,50,11,9
277,1308,1390,712,655,374,183,89,67
278,1202,1443,809,717,387,163,92,95
279,876,1317,1037,881,588,188,82,49
280,614,1153,678,681,330,142,49,44
281,1047,1543,651,646,243,68,20,19
282,1561,1670,804,605,323,146,61,13
283,731,1032,752,814,568,312,148,139
284,955,1546,843,878,593,281,117,107
285,852,1361,580,526,305,157,55,49
286,1188,1526,838,795,319,162,45,35
287,694,1017,614,468,272,162,67,44
288,600,813,516,497,371,188,86,102
289,887,983,798,773,555,340,169,168
290,372,673,517,472,424,209,120,111
291,388,619,500,557,405,227,100,87
292,1035,1759,1093,988,535,169,52,32
293,776,1145,776,694,340,194,68,40
294,835,1260,919,918,611,317,153,93
295,712,1310,969,1010,507,205,50,66
296,276,686,584,622,531,297,95,68
297,1385,2088,1012,934,452,224,47,87
298,885,1499,662,525,241,131,75,36
299,668,1082,539,556,328,134,75,75
300,1153,1820,838,600,286,56,10,1
301,958,1328,677,673,334,148,55,57
302,821,1304,770,690,469,165,75,49
303,692,1356,613,540,285,130,68,39
304,931,1720,867,765,331,89,33,22
305,1313,2236,1101,1097,450,171,34,8
306,2419,2844,870,742,235,52,20,2
307,641,1361,861,850,279,61,33,19
308,1067,1500,683,574,226,53,36,7
309,1252,1743,1189,975,560,186,88,19
310,1559,2136,1071,793,314,118,21,28
311,1791,2357,1111,716,275,131,68,21
312,3748,2943,736,438,178,80,27,15
313,1565,1830,903,808,383,260,80,48
