region,sample_geo
9,1
6,2
7,4
8,5
9,6
8,8
1,9
5,10
5,11
5,12
5,13
9,15
4,16
8,17
3,18
3,19
4,20
6,21
7,22
1,23
5,24
1,25
3,26
4,27
4,28
6,29
8,30
5,31
4,32
4,33
1,34
2,35
8,36
8,37
2,38
3,39
7,40
9,41
2,42
1,44
5,45
4,46
6,47
7,48
8,49
5,50
1,51
9,53
3,54
5,55
8,56
